order_id,item_id,fabric_category,max_production_limit,arrival_date,due_date,capacity_needed
1575328893395595266,208123120202,针织,1,2022-08-01,2023-10-01,9
1575328893395595267,208123108001,针织,1,2022-08-01,2023-10-03,2
1575328893399789573,208123104201,针织,1,2022-08-01,2023-09-14,10
1575328893399789574,208123104201,针织,1,2022-08-01,2023-10-01,6
1575328893399789575,208123104201,针织,1,2022-08-01,2023-10-01,4
1575328893399789581,208123121201,针织,1,2022-08-01,2023-09-23,3
1575328893403983878,208123120202,针织,1,2022-08-01,2023-09-16,15
1575328893403983879,208123120202,针织,1,2022-08-01,2023-10-01,6
1575328893403983880,208123108001,针织,1,2022-08-01,2023-09-22,2
1575328893408178185,208123121203,针织,1,2022-08-01,2023-09-23,2
1575328893408178186,208123121203,针织,1,2022-08-01,2023-10-08,2
1575328893408178187,208123104102,针织,1,2022-08-01,2023-09-22,8
1575328893408178188,208123104102,针织,1,2022-08-01,2023-10-06,8
1575328893416566786,208123121001,针织,1,2022-08-01,2023-09-23,2
1575328893416566787,208123121001,针织,1,2022-08-01,2023-10-08,2
1575328893416566803,208123121201,针织,1,2022-08-01,2023-09-23,3
1575328893416566804,208123104102,针织,1,2022-08-01,2023-09-22,8
1575328893416566805,208123104102,针织,1,2022-08-01,2023-10-06,8
1575328893433344009,200123100004,针织,1,2022-08-01,2023-11-28,5
1575328893437538309,200123100102,针织,1,2022-08-01,2023-11-28,3
1575328893437538318,200123100001,针织,1,2022-08-01,2023-10-31,6
1575328893441732613,200123105108,针织,1,2022-08-01,2023-11-28,3
1575328893441732614,200123105108,针织,1,2022-08-01,2023-12-05,7
1575328893441732615,200123105108,针织,1,2022-08-01,2023-11-28,1
1575328893441732616,200123105108,针织,1,2022-08-01,2023-11-28,1
1575328893441732619,200123100102,针织,1,2022-08-01,2023-12-05,8
1575328893441732623,200123111011,针织,1,2022-08-01,2023-10-31,10
1575328893441732624,200123111011,针织,1,2022-08-01,2023-10-31,1
1575328893441732625,200123111011,针织,1,2022-08-01,2023-10-31,1
1575328893487869962,201123121103,针织,1,2022-08-01,2023-10-31,3
1575328893487869964,201123121103,针织,1,2022-08-01,2023-11-14,2
1575328893487869975,202123105115,针织,2,2022-08-01,2023-11-28,30
1575328893487869976,202123105115,针织,2,2022-08-01,2023-12-05,50
1575328893487869977,202123105115,针织,1,2022-08-01,2023-12-12,9
1575328893487869978,202123105115,针织,1,2022-08-01,2023-11-28,1
1575328893487869979,202123105115,针织,1,2022-08-01,2023-11-28,1
1575328893492064261,201123105008,针织,1,2022-08-01,2023-11-28,11
1575328893492064265,201123105008,针织,2,2022-08-01,2023-12-05,37
1575328893492064266,201123105008,针织,1,2022-08-01,2023-11-28,1
1575328893492064267,201123105008,针织,1,2022-08-01,2023-11-28,1
1575328893517230082,200123100004,针织,1,2022-08-01,2023-12-20,13
1575328893517230093,200123100004,针织,1,2022-08-01,2023-11-28,1
1575328893521424385,200123100004,针织,1,2022-08-01,2023-11-28,1
1575328893521424391,201123100005,针织,1,2022-08-01,2023-11-28,7
1575328893534007310,201123100005,针织,1,2022-08-01,2023-12-20,19
1575328893538201605,201123100005,针织,1,2022-08-01,2023-11-28,1
