order_id,item_id,fabric_category,max_production_limit,arrival_date,due_date,capacity_needed
1585937125159792651,C45763719,梭织,2,2022-11-29,2023-02-14,15
1585937125159792652,C45763719,梭织,2,2022-11-29,2023-02-21,15
1585937125159792653,C45763719,梭织,2,2022-11-29,2023-02-28,8
1585937125172375562,C45262942,梭织,1,2023-03-04,2023-03-22,5
1585937125176569857,C45262942,梭织,1,2022-11-29,2023-02-07,5
1585937125176569858,C45262942,梭织,1,2022-11-29,2023-02-14,5
1585937125176569859,C45262942,梭织,1,2022-11-29,2023-02-21,3
1585937125189152782,C45763725,梭织,2,2022-11-29,2023-02-21,13
1585937125189152783,C45763725,梭织,2,2022-11-29,2023-02-28,13
1585937125189152784,C45763725,梭织,2,2022-11-29,2023-03-07,7
1585937125189152785,C45763724,梭织,1,2022-11-29,2023-02-21,4
1585937125189152786,C45974320,梭织,1,2022-11-29,2023-02-14,7
1585937125189152787,C45974320,梭织,1,2022-11-29,2023-02-21,7
1585937125189152788,C45974320,梭织,1,2022-11-29,2023-02-28,4
1585937125193347083,C46442046,梭织,2,2023-03-04,2023-03-28,15
1585937125193347084,C46442046,梭织,2,2022-11-29,2023-02-14,9
1585937125193347085,C46442046,梭织,2,2022-11-29,2023-02-21,13
1585937125193347086,C46442046,梭织,2,2022-11-29,2023-02-28,13
1585937125193347087,C46442046,梭织,2,2022-11-29,2023-03-07,9
1585937125201735687,C45763713,梭织,1,2022-11-29,2023-02-21,15
1585937125201735688,C45763713,梭织,1,2022-11-29,2023-02-28,15
1585937125201735689,C45763713,梭织,1,2022-11-29,2023-03-07,8
1585937125222707208,C45988274,梭织,2,2022-11-29,2023-02-07,31
1585937125222707209,C45988274,梭织,2,2022-11-29,2023-02-14,31
1585937125222707210,C45988274,梭织,2,2022-11-29,2023-02-21,16
1585937125222707211,C45994117,梭织,2,2022-11-29,2023-02-14,17
1585937125222707212,C45994117,梭织,2,2022-11-29,2023-02-21,17
1585937125222707213,C45994117,梭织,2,2022-11-29,2023-02-28,9
1585937125231095825,C47336628,梭织,2,2022-11-29,2023-02-21,27
1585937125231095826,C47336628,梭织,2,2022-11-29,2023-02-28,27
1585937125231095827,C47336628,梭织,2,2022-11-29,2023-03-07,14
1585937125252067330,C47336630,梭织,2,2022-11-29,2023-02-14,14
1585937125252067331,C47336630,梭织,2,2022-11-29,2023-02-21,21
1585937125252067332,C47336630,梭织,2,2022-11-29,2023-02-28,21
1585937125252067333,C47336630,梭织,2,2022-11-29,2023-03-07,14
1585937125256261635,C47276064,梭织,1,2022-11-29,2023-02-14,6
1585937125256261636,C47276064,梭织,1,2022-11-29,2023-02-21,6
1585937125256261637,C47276064,梭织,1,2022-11-29,2023-02-28,3
1585937125256261639,C50261839,梭织,1,2022-11-29,2023-02-07,2
1585937125256261640,C50261839,梭织,1,2022-11-29,2023-02-14,2
1585937125256261641,C50261839,梭织,1,2022-11-29,2023-02-21,1
1585937125260455954,C47988742,梭织,2,2022-11-29,2023-02-14,13
1585937125260455955,C47988742,梭织,2,2022-11-29,2023-02-21,13
1585937125260455956,C47988742,梭织,2,2022-11-29,2023-02-28,7
1585937125273038853,C47668639,梭织,1,2022-11-29,2023-01-02,6
1585937125281427479,C44741046,梭织,1,2022-11-14,2023-03-02,9
1585937125281427480,C44741046,梭织,1,2022-11-14,2023-03-20,13
1585937125281427481,C44876885,梭织,1,2022-11-26,2022-12-20,9
1585937125281427482,C44741718,梭织,1,2022-11-14,2023-02-14,4
1585937125281427483,C44876894,梭织,2,2022-11-14,2023-03-02,6
1585937125281427484,C44876894,梭织,2,2022-11-14,2023-03-20,8
1585937125285621767,C44741042,梭织,1,2022-11-08,2023-02-14,3
1585937125285621768,C44741042,梭织,1,2022-11-08,2023-02-23,4
1585937125294010373,C44741715,梭织,1,2022-11-14,2022-12-20,3
1585937125294010374,C44741715,梭织,1,2022-11-14,2023-02-07,12
1585937125294010379,C44849361,梭织,1,2022-11-14,2022-12-20,3
1585937125294010380,C44849361,梭织,1,2022-11-14,2023-02-07,10
1585937125298204673,C44829343,梭织,1,2022-11-26,2022-12-20,2
1585937125298204684,C44685163,梭织,2,2022-11-19,2022-12-20,2
1585937125298204685,C44685163,梭织,2,2022-11-19,2023-02-07,7
1585937125298204688,C44685161,梭织,1,2022-11-19,2023-02-14,3
1585937125310787599,C44697708,梭织,1,2022-11-08,2023-02-14,13
1585937125310787600,C44697707,梭织,2,2022-11-25,2022-12-20,9
1585937125310787601,C44697707,梭织,2,2022-11-25,2023-02-07,18
1585937125310787602,C44697707,梭织,2,2022-11-25,2023-02-14,9
1585937125310787603,C44697707,梭织,2,2022-11-25,2023-02-28,9
1585937125310787604,C44697714,梭织,1,2022-11-26,2022-12-20,2
1585937125310787613,C44697717,梭织,3,2022-11-26,2022-12-20,17
1585937125310787614,C44697717,梭织,3,2022-11-26,2023-02-07,34
1585937125310787615,C44697717,梭织,3,2022-11-26,2023-02-14,17
1585937125310787616,C44697717,梭织,3,2022-11-26,2023-02-28,17
1585937125314981909,C44723558,梭织,1,2022-11-25,2023-03-02,5
1585937125314981910,C44723558,梭织,1,2022-11-25,2023-03-20,7
1585937125314981914,C44723573,梭织,2,2022-10-05,2023-03-02,26
1585937125314981915,C44723573,梭织,2,2022-10-05,2023-03-20,35
1585937125314981916,C44723573,梭织,2,2022-10-05,2023-04-06,26
1585937125319176194,C44725890,梭织,2,2022-11-25,2023-02-14,40
1585937125319176195,C44725890,梭织,2,2022-11-25,2023-02-23,40
1585937125319176196,C44725890,梭织,2,2022-11-25,2023-03-02,40
1585937125319176197,C44725890,梭织,2,2022-11-25,2023-03-09,14
1585937125319176208,C44726005,梭织,2,2022-11-08,2023-02-14,21
1585937125319176209,C44726005,梭织,2,2022-11-08,2023-02-23,21
1585937125319176210,C44726005,梭织,2,2022-11-08,2023-03-02,21
1585937125319176211,C44726005,梭织,2,2022-11-08,2023-03-09,7
1585937125331759105,C44729275,梭织,1,2022-11-14,2022-12-20,4
1585937125331759106,C44729275,梭织,1,2022-11-14,2023-02-07,15
1585937125331759107,C44729290,梭织,2,2022-11-14,2022-12-20,5
1585937125331759108,C44729290,梭织,2,2022-11-14,2023-02-07,18
1585937125331759115,C44729593,梭织,2,2022-11-25,2023-02-14,14
1585937125331759116,C44729593,梭织,2,2022-11-25,2023-02-23,14
1585937125331759117,C44729593,梭织,2,2022-11-25,2023-03-02,14
1585937125331759118,C44729593,梭织,2,2022-11-25,2023-03-09,5
1585937125331759126,C44729600,梭织,2,2022-11-08,2023-02-14,7
1585937125331759127,C44729600,梭织,2,2022-11-08,2023-02-23,10
1585937125331759128,C44729600,梭织,2,2022-11-08,2023-03-02,7
1585937125331759141,C44729937,梭织,3,2022-11-25,2022-12-20,34
1585937125335953410,C44729937,梭织,3,2022-11-25,2023-02-07,68
1585937125335953411,C44729937,梭织,3,2022-11-25,2023-02-14,34
1585937125335953412,C44729937,梭织,3,2022-11-25,2023-02-28,34
1585937137516212235,C44730838,梭织,2,2022-11-08,2022-12-20,11
1585937137516212236,C44730838,梭织,2,2022-11-08,2023-02-07,8
1585937137520406530,C44730845,梭织,3,2022-11-08,2023-02-14,30
1585937137520406531,C44730845,梭织,3,2022-11-08,2023-02-23,30
1585937137520406532,C44730845,梭织,3,2022-11-08,2023-03-02,30
1585937137520406533,C44730845,梭织,3,2022-11-08,2023-03-09,10
1585937137528795144,C44731839,梭织,2,2022-11-25,2023-03-02,10
1585937137528795145,C44731839,梭织,2,2022-11-25,2023-03-20,14
1585937137545572356,C44746088,梭织,1,2022-11-19,2022-12-20,3
1585937137545572357,C44746088,梭织,1,2022-11-19,2023-02-07,9
1585937137545572373,C44746098,梭织,1,2022-11-19,2022-12-20,2
1585937137545572374,C44746098,梭织,1,2022-11-19,2023-02-07,5
1585937137545572377,C44746405,梭织,2,2022-11-14,2023-02-14,10
1585937137545572378,C44746405,梭织,2,2022-11-14,2023-02-23,10
1585937137545572379,C44746405,梭织,2,2022-11-14,2023-03-02,10
1585937137545572380,C44746405,梭织,2,2022-11-14,2023-03-09,4
1585937137549766666,C44758887,梭织,1,2022-11-08,2022-12-20,6
1585937137549766667,C44758887,梭织,1,2022-11-08,2023-02-07,11
1585937137549766668,C44758887,梭织,1,2022-11-08,2023-02-14,6
1585937137549766669,C44758887,梭织,1,2022-11-08,2023-02-28,6
1585937137549766678,C44772052,梭织,2,2022-11-14,2022-12-20,20
1585937137549766679,C44772052,梭织,2,2022-11-14,2023-02-07,39
1585937137549766680,C44772052,梭织,2,2022-11-14,2023-02-14,20
1585937137553960961,C44772052,梭织,2,2022-11-14,2023-02-28,20
1585937137562349580,C44829335,梭织,1,2022-11-26,2022-12-20,3
1585937137562349581,C44829334,梭织,1,2022-11-26,2022-12-20,3
1585937137562349582,C44829332,梭织,1,2022-11-26,2022-12-20,2
1585937137562349589,C44829341,梭织,1,2022-11-26,2022-12-20,1
1585937137566543880,C44912852,梭织,2,2022-11-14,2022-12-20,7
1585937137566543881,C44912852,梭织,2,2022-11-14,2023-02-07,14
1585937137566543882,C44912852,梭织,2,2022-11-14,2023-02-14,7
1585937137566543883,C44912852,梭织,2,2022-11-14,2023-02-28,7
1585937137570738188,C45074314,梭织,1,2022-11-26,2022-12-20,1
1585937137574932495,C45056062,梭织,1,2022-11-08,2022-12-20,6
1585937137591709727,C46687907,梭织,3,2022-11-08,2023-02-14,40
1585937137591709728,C46687907,梭织,3,2022-11-08,2023-02-23,40
1585937137591709729,C46687907,梭织,3,2022-11-08,2023-03-02,40
1585937137591709730,C46687907,梭织,3,2022-11-08,2023-03-09,14
1585937137595904006,C46317953,梭织,1,2022-10-05,2023-02-14,4
1585937137595904007,C46317953,梭织,1,2022-10-05,2023-02-23,6
1585937137600098321,C47328080,梭织,1,2022-11-26,2023-02-14,2
1585937137600098326,C46810728,梭织,2,2022-11-08,2022-12-20,18
1585937137600098327,C46810728,梭织,2,2022-11-08,2023-02-07,35
1585937137600098328,C46810728,梭织,2,2022-11-08,2023-02-14,18
1585937137604292610,C46810728,梭织,2,2022-11-08,2023-02-28,18
1585937137604292621,C44698774,梭织,1,2022-11-26,2023-02-14,6
1585937137604292624,C46810723,梭织,2,2022-11-14,2023-02-14,17
1585937137604292625,C46810723,梭织,2,2022-11-14,2023-02-23,17
1585937137604292626,C46810723,梭织,2,2022-11-14,2023-03-02,17
1585937137604292627,C46810723,梭织,2,2022-11-14,2023-03-09,6
1585937137616875540,C49331834,梭织,1,2022-11-14,2023-02-14,4
1585937137616875541,C49362012,梭织,1,2022-12-01,2023-03-02,3
1585937137621069830,C49425182,梭织,1,2022-11-14,2023-02-14,2
1585937137621069831,C49425182,梭织,1,2022-11-14,2023-02-23,3
1585937137625264152,C49392875,梭织,1,2022-11-19,2022-12-20,10
1585937137625264162,C49246446,梭织,2,2022-11-25,2022-12-20,7
1585937137625264163,C49246446,梭织,2,2022-11-25,2023-02-07,14
1585937137625264164,C49246446,梭织,2,2022-11-25,2023-02-14,7
1585937137625264165,C49246446,梭织,2,2022-11-25,2023-02-28,7
1585937137633652759,C49360128,梭织,1,2022-11-08,2023-02-14,6
1585937137633652760,C49360128,梭织,1,2022-11-08,2023-02-23,9
1585937137633652761,C47902743,梭织,3,2022-10-27,2022-12-20,16
1585937137633652762,C47902743,梭织,3,2022-10-27,2023-02-07,31
1585937137637847042,C47902743,梭织,3,2022-10-27,2023-02-14,16
1585937137637847043,C47902743,梭织,3,2022-10-27,2023-02-28,16
1585937137637847058,C47916596,梭织,2,2022-11-14,2022-12-20,11
1585937137637847059,C47916596,梭织,2,2022-11-14,2023-02-07,21
1585937137637847060,C47916596,梭织,2,2022-11-14,2023-02-14,11
1585937137637847061,C47916596,梭织,2,2022-11-14,2023-02-28,11
1585937137642041381,C49393264,梭织,3,2022-11-26,2023-02-14,17
1585937137642041382,C49393264,梭织,3,2022-11-26,2023-02-23,17
1585937137646235650,C49393264,梭织,3,2022-11-26,2023-03-02,17
1585937137646235651,C49393264,梭织,3,2022-11-26,2023-03-09,6
1585937137646235652,C49288746,梭织,1,2022-10-27,2022-12-20,6
1585937137646235653,C49288745,梭织,2,2022-11-08,2022-12-20,8
1585937137646235654,C49288745,梭织,2,2022-11-08,2023-02-07,16
1585937137646235655,C49288745,梭织,2,2022-11-08,2023-02-14,8
1585937137646235656,C49288745,梭织,2,2022-11-08,2023-02-28,8
1585937137646235659,C49664797,梭织,2,2022-10-27,2022-12-20,15
1585937137646235660,C49664797,梭织,2,2022-10-27,2023-02-07,10
1585937137646235686,C49288751,梭织,1,2022-11-26,2023-02-14,5
1585937137650429953,C49401156,梭织,1,2022-11-14,2023-02-14,5
1585937137650429954,C49401156,梭织,1,2022-11-14,2023-02-23,8
1585937137650429955,C49288748,梭织,3,2022-11-08,2023-02-14,38
1585937137650429956,C49288748,梭织,3,2022-11-08,2023-02-23,38
1585937137650429957,C49288748,梭织,3,2022-11-08,2023-03-02,38
1585937137650429958,C49288748,梭织,3,2022-11-08,2023-03-09,13
1585937137650429959,C44923613,梭织,1,2022-11-14,2022-12-20,7
1585937137650429960,C49664798,梭织,1,2022-11-19,2022-12-20,5
1585937137650429965,C49645108,梭织,2,2022-11-26,2022-12-20,23
1585937137650429968,C50324451,梭织,1,2022-11-08,2022-12-20,8
