item_id,brand,channel,fabric_category,age_group,item_capacity_group,share_level
C44729940,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,3
C44746402,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类,2
C44742538,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类,3
C49360935,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,2
C47074929,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,1
C45460451,巴拉巴拉,巴拉巴拉线上,针织,婴童,针织大类,1
C50160231,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类,2
C48654649,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类,2
C45988277,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类,2
C44698085,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,3
C49354960,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,3
C46329325,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,2
C47227773,巴拉巴拉,巴拉巴拉线上,针织,婴童,针织大类,3
C45262950,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类,1
C49359301,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,2
C47381950,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类,1
C46488940,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类,2
C47328066,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,3
C44729941,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,1
C44726729,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,1
C47397735,巴拉巴拉,巴拉巴拉线上,针织,婴童,针织大类,2
C44698456,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,1
C47526539,巴拉巴拉,巴拉巴拉线上,针织,婴童,针织大类,2
C46716991,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类,2
C45249099,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类,3
C49330077,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类,2
C46305995,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类,2
C47043354,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,1
C44729945,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,2
C44731836,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,1
C44859403,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类,2
C44731570,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,1
C44741726,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类,3
C44726723,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,2
C44685169,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类,2
C47569704,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类,1
C44741029,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类,2
C49268685,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,3
C44698459,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,1
C44729123,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,1
C47276065,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类,1
C44731835,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,1
C44829347,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,2
C50432110,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,3
C48381161,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类,2
C45730321,巴拉巴拉,巴拉巴拉线上,针织,婴童,针织大类,2
C44730638,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,1
C49388370,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类,3
C49207597,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,2
C47043352,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,3
C47043361,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,2
C44859401,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类,2
C49468375,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类,2
C44876886,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类,3
C47610837,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类,2
C49474951,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类,3
C44730639,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,2
C44742547,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类,3
C46364839,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类,2
C47328078,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,2
C49645113,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,1
C47077186,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,3
C44685157,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类,1
C44731575,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,3
C45249088,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类,1
C46810725,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,1
C45496365,巴拉巴拉,巴拉巴拉线上,针织,婴童,针织大类,3
C47031816,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,1
C44928543,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类,1
C44742542,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类,2
C44729952,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,1
C45726082,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类,1
C45074313,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,1
C46675214,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类,3
C44698086,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,3
C44729594,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,1
C44698455,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,2
C46488937,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类,2
C44685168,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类,3
C50433631,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类,3
C44741335,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类,2
C47368840,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类,2
C45338686,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类,1
C47368844,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类,3
C44685173,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类,1
C46554773,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类,2
C47682635,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类,2
C47206321,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类,3
C44698467,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,3
C44741039,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类,3
C44698466,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,1
C44729292,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,3
C45262949,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类,3
C45053740,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,2
C46880069,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类,3
C49354962,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,2
C44686217,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类,1
C47786980,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,3
C44773818,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,1
C49269492,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,2
C44859404,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类,2
C47977244,巴拉巴拉,巴拉巴拉线上,针织,婴童,针织大类,2
C44685166,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类,2
C47485763,巴拉巴拉,巴拉巴拉线上,针织,婴童,针织大类,2
C47592077,巴拉巴拉,巴拉巴拉线上,针织,婴童,针织大类,2
C44729112,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,2
C46554344,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类,2
C45053742,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,2
C44698468,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,3
C44731571,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,2
C44892141,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类,1
C44786127,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类,1
C44729939,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,3
C49359302,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,1
C44686215,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类,2
C44773806,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,3
C46305996,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类,1
C44685170,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类,2
C44729120,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,1
C44697719,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,2
C48018501,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,3
C44802074,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类,1
C44698071,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,1
C44786128,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类,2
C46357350,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,3
C44726007,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,1
C47378763,巴拉巴拉,巴拉巴拉线上,针织,婴童,针织大类,1
C44741337,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类,3
C44729118,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,3
C47232554,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类,1
