item_id,brand,channel,fabric_category,age_group,item_capacity_group,share_level
201123111011,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,1
202123122101,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,3
200123100102,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类,1
202123100103,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,1
200123134202,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类,1
200123156201,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类,2
200123108112,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类,3
208123104203,巴拉巴拉,巴拉巴拉线上,针织,婴童,针织大类,3
201123121004,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,2
202123121204,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,3
200123133201,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类,1
208123100205,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类,3
201123100104,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,3
208123120102,巴拉巴拉,巴拉巴拉线上,针织,婴童,针织大类,2
200123100002,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类,3
208123121203,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类,1
201123123009,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,3
202123121105,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,1
200123100005,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类,1
200123156202,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类,1
208123108102,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类,2
208123121002,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类,2
201123104003,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,3
202123100104,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,1
