item_id,brand,channel,fabric_category,age_group,item_capacity_group
201123108012,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
208123108210,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类
208123123002,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类
202123108116,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
202123123002,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
200123100005,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
200123100106,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
208123108004,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类
200123123005,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
208123108207,巴拉巴拉,巴拉巴拉线上,针织,婴童,针织大类
202123104102,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
202123121001,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
200123134203,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
201123108117,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
200123111007,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
201123108016,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
202123108107,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
201123105112,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
202123121204,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
208123104208,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类
200123104106,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
201123100001,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
201123121007,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
208123104101,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类
201123117001,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
200123100006,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
201123121002,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
201123123006,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
202123108106,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
208123121207,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类
208123120205,巴拉巴拉,巴拉巴拉线上,针织,婴童,针织大类
201123117103,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
208123104206,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类
200123100103,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
208123121104,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类
202123108117,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
200123133205,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
208123104209,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类
200123131208,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
208123121002,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类
208123100106,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类
200123108107,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
208123104203,巴拉巴拉,巴拉巴拉线上,针织,婴童,针织大类
200123100108,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
200123120003,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
200123104102,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
202123104101,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
208123108101,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类
208123121102,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类
202123121103,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
200123132201,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
200123120102,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
202123121201,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
201123123009,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
202123100101,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
200123131203,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
201123121102,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
201123121101,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
201123100103,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
201123100009,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
200123123003,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
201123123004,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
202123108002,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
208123108104,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类
200923137201,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
200123123001,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
208123108008,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类
200123100001,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
200123133203,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
202123121106,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
201123108010,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
202123108001,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
208123100204,巴拉巴拉,巴拉巴拉线上,针织,婴童,针织大类
201123121202,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
208123104205,巴拉巴拉,巴拉巴拉线上,针织,婴童,针织大类
200123131209,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
208123100103,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类
208123100001,巴拉巴拉,巴拉巴拉线上,针织,婴童,针织大类
202123108006,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
208123104102,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类
200123156202,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
201123123002,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
201123108121,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
208123133202,巴拉巴拉,巴拉巴拉线上,针织,婴童,针织大类
201123111011,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
208123100202,巴拉巴拉,巴拉巴拉线上,针织,婴童,针织大类
200123105010,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
208123104207,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类
208123108206,巴拉巴拉,巴拉巴拉线上,针织,婴童,针织大类
202123122101,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
200123120002,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
200123111011,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
208123133203,巴拉巴拉,巴拉巴拉线上,针织,婴童,针织大类
201123104102,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
201123123005,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
202123105012,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
201123104003,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
208123121203,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类
208123100104,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类
202123121205,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
202123108104,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
200123100003,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
201123104105,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
200123133209,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
200123123006,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
202123100003,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
200123120106,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
201123108009,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
