order_id,item_id,fabric_category,max_production_limit,arrival_date,due_date,capacity_needed
1575328893391400961,201123117001,针织,1,2022-08-01,2023-09-14,1
1575328893391400967,201123117103,针织,1,2022-08-01,2023-09-12,1
1575328893391400968,201123117103,针织,1,2022-08-01,2023-09-13,1
1575328893391400969,201123117103,针织,1,2022-08-01,2023-09-14,1
1575328893391400973,201123117001,针织,1,2022-08-01,2023-09-12,1
1575328893391400974,201123117001,针织,1,2022-08-01,2023-09-13,1
1575328893391400975,201123117001,针织,1,2022-08-01,2023-09-14,1
1575328893395595267,208123108001,针织,1,2022-08-01,2023-10-03,2
1575328893399789573,208123104201,针织,1,2022-08-01,2023-09-14,10
1575328893399789574,208123104201,针织,1,2022-08-01,2023-10-01,6
1575328893399789575,208123104201,针织,1,2022-08-01,2023-10-01,4
1575328893399789576,208123108203,针织,1,2022-08-01,2023-10-03,4
1575328893399789577,208123120201,针织,1,2022-08-01,2023-10-06,7
1575328893399789578,208123104101,针织,1,2022-08-01,2023-09-23,6
1575328893399789579,208123104101,针织,1,2022-08-01,2023-10-08,7
1575328893399789580,208123104101,针织,1,2022-08-01,2023-11-05,6
1575328893403983880,208123108001,针织,1,2022-08-01,2023-09-22,2
1575328893408178178,208123108203,针织,1,2022-08-01,2023-09-16,8
1575328893408178179,208123120201,针织,1,2022-08-01,2023-09-21,7
1575328893408178180,208123108203,针织,1,2022-08-01,2023-10-03,4
1575328893408178185,208123121203,针织,1,2022-08-01,2023-09-23,2
1575328893408178186,208123121203,针织,1,2022-08-01,2023-10-08,2
1575328893408178187,208123104102,针织,1,2022-08-01,2023-09-22,8
1575328893408178188,208123104102,针织,1,2022-08-01,2023-10-06,8
1575328893408178189,208123108101,针织,1,2022-08-01,2023-09-20,12
1575328893408178190,208123108101,针织,1,2022-08-01,2023-10-07,14
1575328893408178191,208123108101,针织,1,2022-08-01,2023-11-05,7
1575328893408178192,208123108101,针织,1,2022-08-01,2023-11-05,7
1575328893416566786,208123121001,针织,1,2022-08-01,2023-09-23,2
1575328893416566787,208123121001,针织,1,2022-08-01,2023-10-08,2
1575328893416566791,208123121102,针织,1,2022-08-01,2023-09-23,2
1575328893416566800,208123104101,针织,1,2022-08-01,2023-09-30,6
1575328893416566801,208123104101,针织,1,2022-08-01,2023-10-08,7
1575328893416566802,208123104101,针织,1,2022-08-01,2023-11-05,6
1575328893416566804,208123104102,针织,1,2022-08-01,2023-09-22,8
1575328893416566805,208123104102,针织,1,2022-08-01,2023-10-06,8
1575328893433344009,200123100004,针织,1,2022-08-01,2023-11-28,5
1575328893437538309,200123100102,针织,1,2022-08-01,2023-11-28,3
1575328893437538314,200123104106,针织,1,2022-08-01,2023-11-28,3
1575328893437538315,200123104106,针织,1,2022-08-01,2023-12-05,7
1575328893437538316,200123104106,针织,1,2022-08-01,2023-11-28,1
1575328893437538318,200123100001,针织,1,2022-08-01,2023-10-31,6
1575328893441732619,200123100102,针织,1,2022-08-01,2023-12-05,8
1575328893441732623,200123111011,针织,1,2022-08-01,2023-10-31,10
1575328893441732624,200123111011,针织,1,2022-08-01,2023-10-31,1
1575328893441732625,200123111011,针织,1,2022-08-01,2023-10-31,1
1575328893441732626,200123120102,针织,1,2022-08-01,2023-10-31,19
1575328893445926913,200123120102,针织,1,2022-08-01,2023-11-07,6
1575328893445926914,200123120102,针织,1,2022-08-01,2023-11-14,16
