item_id,brand,channel,fabric_category,age_group,item_capacity_group
C44685174,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织婴童
C44741338,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织裤子
C44777678,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裤子
C49388371,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织婴童
C47354229,巴拉巴拉,巴拉巴拉线上,梭织,婴童,梭织婴童
C44730842,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子
C45994117,巴拉巴拉,巴拉巴拉线上,梭织,非婴童,梭织裙子
C44829350,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织外套
C45048169,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裤子
C44829335,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子
C47498619,巴拉巴拉,巴拉巴拉线上,梭织,非婴童,梭织裙子
C44773813,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子
C45262941,巴拉巴拉,巴拉巴拉线上,梭织,非婴童,梭织裤子
C49362252,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织外套
C44741037,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织外套
C45988274,巴拉巴拉,巴拉巴拉线上,梭织,非婴童,梭织外套
C44849361,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织外套
C44829334,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子
C47571533,巴拉巴拉,巴拉巴拉线上,梭织,非婴童,梭织外套
C44726004,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裤子
C44731833,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裤子
C44730844,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子
C50113909,巴拉巴拉,巴拉巴拉线上,梭织,非婴童,梭织裤子
C44742540,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织裤子
C46317953,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裤子
C44726008,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裤子
C49268683,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子
C50341094,巴拉巴拉,巴拉巴拉线上,梭织,婴童,梭织裙子
C50579769,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子
C44729600,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裤子
C45969310,巴拉巴拉,巴拉巴拉线上,梭织,非婴童,梭织外套
C44723562,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裤子
C44697710,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子
C47328072,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裤子
C44876885,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织外套
C45262942,巴拉巴拉,巴拉巴拉线上,梭织,非婴童,梭织裤子
C44730851,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子
C44698771,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织外套
C44829342,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裤子
C49288745,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子
C44897259,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裤子
C49664798,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织外套
C45056062,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织裙子
C45053738,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织外套
C44729710,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裤子
C44812958,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子
C44685162,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织婴童
C49153182,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裤子
C44729593,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裤子
C46687907,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子
