item_id,brand,channel,fabric_category,age_group,item_capacity_group
C44742529,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
C47368841,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类
C46305998,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类
C44742543,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
C44937073,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
C44725893,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
C44698467,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
C44698458,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
C49386477,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
C44729112,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
C44725894,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
C47235780,巴拉巴拉,巴拉巴拉线上,针织,婴童,针织大类
C45262944,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类
C44703352,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
C47977244,巴拉巴拉,巴拉巴拉线上,针织,婴童,针织大类
C46305999,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类
C44741035,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
C50263259,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类
C44698468,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
C44892141,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
C50433631,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类
C44685168,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
C50224287,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类
C44813182,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
C49229571,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
C47031817,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
C44829347,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
C49771162,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
C45726095,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类
C44731568,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
C47309562,巴拉巴拉,巴拉巴拉线上,针织,婴童,针织大类
C46357350,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
C44742534,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
C49269492,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
C47031814,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
C44777675,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
C50180619,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类
C45496365,巴拉巴拉,巴拉巴拉线上,针织,婴童,针织大类
C45726092,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类
C47177623,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类
C44685166,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
C47328077,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
C44859404,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
C49109243,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
C44731843,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
C46357401,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
C46329325,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
C44729941,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
C44742547,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
C49339781,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
C44746096,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
C47031819,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
C44786127,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
C44685165,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
C44729113,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
C47909998,巴拉巴拉,巴拉巴拉线上,针织,婴童,针织大类
C47043361,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
C49809773,巴拉巴拉,巴拉巴拉线上,针织,婴童,针织大类
C44741031,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
C45262945,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类
C48707125,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类
C44698077,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
C46684820,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
C44685164,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
C44777676,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
C44829346,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
C49469279,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
C44741027,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
C45120193,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
C49249640,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
C44731574,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
C47328078,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
C47043358,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
C44731836,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
C44698087,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
C46917804,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
C46917803,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
C47645309,巴拉巴拉,巴拉巴拉线上,针织,婴童,针织大类
C47043354,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
C49286003,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
C47218995,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类
C47607395,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类
C47378763,巴拉巴拉,巴拉巴拉线上,针织,婴童,针织大类
C45053740,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
C46488940,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
C44730631,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
C45976245,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类
C47368848,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类
C44801211,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
C49645111,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
C44729940,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
C44725892,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
C46498710,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
C44742538,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
C44729128,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
C45053742,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
C45460451,巴拉巴拉,巴拉巴拉线上,针织,婴童,针织大类
C47682635,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类
C50214011,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类
C45496369,巴拉巴拉,巴拉巴拉线上,针织,婴童,针织大类
C50476862,巴拉巴拉,巴拉巴拉线上,针织,婴童,针织大类
C50160231,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类
C47231488,巴拉巴拉,巴拉巴拉线上,针织,婴童,针织大类
C44741333,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
C44729939,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
C45988275,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类
C49359608,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
C49332207,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
C45262939,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类
C44726007,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
C49645115,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
C46554317,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
C47607396,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类
C49339780,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类
C44723568,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
C49207597,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
C47909689,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类
