item_id,brand,channel,fabric_category,age_group,item_capacity_group,share_level
C44731566,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子,3
C44698766,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织外套,2
C44697703,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子,2
C45763713,巴拉巴拉,巴拉巴拉线上,梭织,非婴童,梭织裙子,1
C47413675,巴拉巴拉,巴拉巴拉线上,梭织,非婴童,梭织外套,3
C49268681,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子,3
C47328074,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裤子,3
C44912852,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子,2
C49268683,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子,2
C47668639,巴拉巴拉,巴拉巴拉线上,梭织,非婴童,梭织裙子,1
C44731839,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子,2
C44829334,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子,2
C47325915,巴拉巴拉,巴拉巴拉线上,梭织,非婴童,梭织裙子,2
C44963963,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织裤子,3
C44907564,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织外套,3
C44923613,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织裙子,2
C46675215,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织裤子,1
C46184464,巴拉巴拉,巴拉巴拉线上,梭织,非婴童,梭织裙子,1
C44729709,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裤子,2
C49288751,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子,1
C44746405,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织裤子,1
C49288748,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子,1
C49388371,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织婴童,3
C44729710,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裤子,3
C46317953,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裤子,2
C46491687,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织外套,3
C45726096,巴拉巴拉,巴拉巴拉线上,梭织,非婴童,梭织裙子,2
C45763719,巴拉巴拉,巴拉巴拉线上,梭织,非婴童,梭织裙子,2
C44731838,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子,1
C44726005,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裤子,3
C44829333,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子,1
C50261839,巴拉巴拉,巴拉巴拉线上,梭织,婴童,梭织裤子,2
C44829335,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子,1
C44730835,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子,3
C44730851,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子,3
C44729937,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裤子,3
C44730845,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子,3
C44685163,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织婴童,3
C47336628,巴拉巴拉,巴拉巴拉线上,梭织,非婴童,梭织裙子,1
C44685162,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织婴童,1
