order_id,item_id,fabric_category,max_production_limit,arrival_date,due_date,capacity_needed
1585937125159792651,C45763719,梭织,2,2022-11-29,2023-02-14,15
1585937125159792652,C45763719,梭织,2,2022-11-29,2023-02-21,15
1585937125159792653,C45763719,梭织,2,2022-11-29,2023-02-28,8
1585937125168181268,C45970841,梭织,1,2022-11-29,2023-02-14,12
1585937125168181269,C45970841,梭织,1,2022-11-29,2023-02-21,12
1585937125168181270,C45970841,梭织,1,2022-11-29,2023-02-28,6
1585937125172375562,C45262942,梭织,1,2023-03-04,2023-03-22,5
1585937125176569857,C45262942,梭织,1,2022-11-29,2023-02-07,5
1585937125176569858,C45262942,梭织,1,2022-11-29,2023-02-14,5
1585937125176569859,C45262942,梭织,1,2022-11-29,2023-02-21,3
1585937125189152778,C45726096,梭织,2,2022-11-29,2023-02-07,19
1585937125189152779,C45726096,梭织,2,2022-11-29,2023-02-14,29
1585937125189152780,C45726096,梭织,2,2022-11-29,2023-02-21,29
1585937125189152781,C45726096,梭织,2,2022-11-29,2023-02-28,19
1585937125193347082,C46298262,梭织,1,2022-11-29,2023-02-21,5
1585937125193347083,C46442046,梭织,2,2023-03-04,2023-03-28,15
1585937125193347084,C46442046,梭织,2,2022-11-29,2023-02-14,9
1585937125193347085,C46442046,梭织,2,2022-11-29,2023-02-21,13
1585937125193347086,C46442046,梭织,2,2022-11-29,2023-02-28,13
1585937125193347087,C46442046,梭织,2,2022-11-29,2023-03-07,9
1585937125197541378,C47274158,梭织,2,2022-11-29,2023-02-14,31
1585937125197541379,C47274158,梭织,2,2022-11-29,2023-02-21,31
1585937125197541380,C47274158,梭织,2,2022-11-29,2023-02-28,16
1585937125197541388,C47342969,梭织,1,2022-11-29,2023-02-14,3
1585937125197541390,C47354229,梭织,1,2022-11-29,2023-02-14,5
1585937125201735687,C45763713,梭织,1,2022-11-29,2023-02-21,15
1585937125201735688,C45763713,梭织,1,2022-11-29,2023-02-28,15
1585937125201735689,C45763713,梭织,1,2022-11-29,2023-03-07,8
1585937125210124292,C45262951,梭织,1,2022-11-29,2023-02-21,16
1585937125210124302,C45496354,梭织,2,2023-03-04,2023-03-29,5
1585937125214318593,C45496354,梭织,2,2022-11-29,2023-02-14,12
1585937125214318594,C45496354,梭织,2,2022-11-29,2023-02-21,12
1585937125214318595,C45496354,梭织,2,2022-11-29,2023-02-28,6
1585937125226901522,C47413675,梭织,1,2022-11-29,2023-02-07,13
1585937125226901523,C47413675,梭织,1,2022-11-29,2023-02-14,13
1585937125226901524,C47413675,梭织,1,2022-11-29,2023-02-21,7
1585937125226901528,C47451546,梭织,1,2022-11-29,2023-02-14,4
1585937125231095816,C47571533,梭织,3,2022-11-29,2023-01-02,20
1585937125231095817,C47571533,梭织,3,2022-11-29,2023-02-07,29
1585937125231095818,C47571533,梭织,3,2022-11-29,2023-02-14,29
1585937125231095819,C47571533,梭织,3,2022-11-29,2023-02-21,20
1585937125231095822,C47325915,梭织,2,2022-11-29,2023-02-28,9
1585937125231095823,C47325915,梭织,2,2022-11-29,2023-03-07,9
1585937125231095824,C47325915,梭织,2,2022-11-29,2023-03-14,5
1585937125231095825,C47336628,梭织,2,2022-11-29,2023-02-21,27
1585937125231095826,C47336628,梭织,2,2022-11-29,2023-02-28,27
1585937125231095827,C47336628,梭织,2,2022-11-29,2023-03-07,14
1585937125239484423,C45990735,梭织,1,2022-11-29,2023-02-14,15
1585937125239484424,C45990735,梭织,1,2022-11-29,2023-02-21,15
1585937125239484425,C45990735,梭织,1,2022-11-29,2023-02-28,8
1585937125256261639,C50261839,梭织,1,2022-11-29,2023-02-07,2
1585937125256261640,C50261839,梭织,1,2022-11-29,2023-02-14,2
1585937125256261641,C50261839,梭织,1,2022-11-29,2023-02-21,1
1585937125273038852,C46184464,梭织,1,2022-11-29,2023-02-21,6
1585937125273038853,C47668639,梭织,1,2022-11-29,2023-01-02,6
1585937125281427474,C44685175,梭织,1,2022-11-19,2022-12-20,3
1585937125281427482,C44741718,梭织,1,2022-11-14,2023-02-14,4
1585937125281427483,C44876894,梭织,2,2022-11-14,2023-03-02,6
1585937125281427484,C44876894,梭织,2,2022-11-14,2023-03-20,8
1585937125289816078,C44741338,梭织,1,2022-11-14,2022-12-20,3
1585937125289816079,C44741338,梭织,1,2022-11-14,2023-02-07,5
1585937125289816080,C44741338,梭织,1,2022-11-14,2023-02-14,3
1585937125289816081,C44741338,梭织,1,2022-11-14,2023-02-28,3
1585937125294010379,C44849361,梭织,1,2022-11-14,2022-12-20,3
1585937125294010380,C44849361,梭织,1,2022-11-14,2023-02-07,10
1585937125294010381,C44829333,梭织,1,2022-11-26,2022-12-20,2
1585937125298204674,C44729709,梭织,1,2022-12-01,2023-02-14,4
1585937125298204675,C44729709,梭织,1,2022-12-01,2023-02-23,6
1585937125298204684,C44685163,梭织,2,2022-11-19,2022-12-20,2
1585937125298204685,C44685163,梭织,2,2022-11-19,2023-02-07,7
1585937125298204686,C44685162,梭织,1,2022-11-14,2023-02-14,3
1585937125298204687,C44685162,梭织,1,2022-11-14,2023-02-23,5
1585937125302398984,C44685174,梭织,1,2022-11-14,2023-02-14,4
1585937125310787590,C44698766,梭织,1,2022-11-02,2023-02-14,7
1585937125310787591,C44698766,梭织,1,2022-11-02,2023-02-23,10
1585937125310787604,C44697714,梭织,1,2022-11-26,2022-12-20,2
1585937125310787605,C44697703,梭织,2,2022-11-26,2022-12-20,6
1585937125310787606,C44697703,梭织,2,2022-11-26,2023-02-07,21
1585937125310787607,C44697711,梭织,2,2022-11-08,2023-03-02,13
1585937125310787608,C44697711,梭织,2,2022-11-08,2023-03-20,17
1585937125310787609,C44697711,梭织,2,2022-11-08,2023-04-06,13
1585937125310787613,C44697717,梭织,3,2022-11-26,2022-12-20,17
1585937125310787614,C44697717,梭织,3,2022-11-26,2023-02-07,34
1585937125310787615,C44697717,梭织,3,2022-11-26,2023-02-14,17
1585937125310787616,C44697717,梭织,3,2022-11-26,2023-02-28,17
1585937125314981914,C44723573,梭织,2,2022-10-05,2023-03-02,26
1585937125314981915,C44723573,梭织,2,2022-10-05,2023-03-20,35
1585937125314981916,C44723573,梭织,2,2022-10-05,2023-04-06,26
1585937125319176198,C44725889,梭织,2,2022-11-19,2023-02-14,30
1585937125319176199,C44725889,梭织,2,2022-11-19,2023-02-23,30
1585937125319176200,C44725889,梭织,2,2022-11-19,2023-03-02,30
1585937125319176201,C44725889,梭织,2,2022-11-19,2023-03-09,10
1585937125319176208,C44726005,梭织,2,2022-11-08,2023-02-14,21
1585937125319176209,C44726005,梭织,2,2022-11-08,2023-02-23,21
1585937125319176210,C44726005,梭织,2,2022-11-08,2023-03-02,21
1585937125319176211,C44726005,梭织,2,2022-11-08,2023-03-09,7
1585937125319176212,C44726004,梭织,1,2022-11-14,2022-12-20,4
1585937125331759105,C44729275,梭织,1,2022-11-14,2022-12-20,4
1585937125331759106,C44729275,梭织,1,2022-11-14,2023-02-07,15
1585937125331759107,C44729290,梭织,2,2022-11-14,2022-12-20,5
1585937125331759108,C44729290,梭织,2,2022-11-14,2023-02-07,18
1585937125331759109,C44729289,梭织,1,2022-11-02,2023-02-14,5
1585937125331759110,C44729289,梭织,1,2022-11-02,2023-02-23,7
1585937125331759126,C44729600,梭织,2,2022-11-08,2023-02-14,7
1585937125331759127,C44729600,梭织,2,2022-11-08,2023-02-23,10
1585937125331759128,C44729600,梭织,2,2022-11-08,2023-03-02,7
1585937125331759137,C44729710,梭织,1,2022-11-14,2023-02-14,2
1585937125331759141,C44729937,梭织,3,2022-11-25,2022-12-20,34
1585937125335953410,C44729937,梭织,3,2022-11-25,2023-02-07,68
1585937125335953411,C44729937,梭织,3,2022-11-25,2023-02-14,34
1585937125335953412,C44729937,梭织,3,2022-11-25,2023-02-28,34
1585937137516212237,C44730836,梭织,2,2022-11-08,2023-02-14,4
1585937137516212238,C44730836,梭织,2,2022-11-08,2023-02-23,6
1585937137516212239,C44730836,梭织,2,2022-11-08,2023-03-02,4
1585937137516212240,C44730835,梭织,1,2022-11-14,2023-03-02,5
1585937137516212248,C44730847,梭织,2,2022-11-14,2023-03-02,4
1585937137516212249,C44730847,梭织,2,2022-11-14,2023-03-20,6
1585937137520406530,C44730845,梭织,3,2022-11-08,2023-02-14,30
1585937137520406531,C44730845,梭织,3,2022-11-08,2023-02-23,30
1585937137520406532,C44730845,梭织,3,2022-11-08,2023-03-02,30
1585937137520406533,C44730845,梭织,3,2022-11-08,2023-03-09,10
1585937137520406541,C44730842,梭织,2,2022-11-14,2023-03-02,8
1585937137520406542,C44730842,梭织,2,2022-11-14,2023-03-20,11
1585937137520406543,C44730842,梭织,2,2022-11-14,2023-04-06,8
1585937137520406544,C44730841,梭织,2,2022-11-26,2023-03-02,11
1585937137520406545,C44730841,梭织,2,2022-11-26,2023-03-20,16
1585937137520406546,C44731566,梭织,1,2022-11-26,2023-02-14,6
1585937137520406547,C44731566,梭织,1,2022-11-26,2023-02-23,8
1585937137520406548,C44730851,梭织,1,2022-11-08,2023-02-14,4
1585937137520406549,C44730851,梭织,1,2022-11-08,2023-02-23,6
1585937137524600839,C44731576,梭织,1,2022-11-14,2023-02-14,7
1585937137524600840,C44731576,梭织,1,2022-11-14,2023-02-23,9
1585937137524600841,C44731576,梭织,1,2022-11-14,2023-03-02,7
1585937137528795144,C44731839,梭织,2,2022-11-25,2023-03-02,10
1585937137528795145,C44731839,梭织,2,2022-11-25,2023-03-20,14
1585937137545572364,C44746091,梭织,1,2022-11-25,2023-02-14,5
1585937137545572365,C44746091,梭织,1,2022-11-25,2023-02-23,8
1585937137545572370,C44746099,梭织,2,2022-11-19,2023-02-14,9
1585937137545572371,C44746099,梭织,2,2022-11-19,2023-02-23,12
1585937137545572372,C44746099,梭织,2,2022-11-19,2023-03-02,9
1585937137545572377,C44746405,梭织,2,2022-11-14,2023-02-14,10
1585937137545572378,C44746405,梭织,2,2022-11-14,2023-02-23,10
1585937137545572379,C44746405,梭织,2,2022-11-14,2023-03-02,10
1585937137545572380,C44746405,梭织,2,2022-11-14,2023-03-09,4
1585937137549766664,C44758886,梭织,1,2022-11-08,2023-02-14,5
1585937137549766665,C44758886,梭织,1,2022-11-08,2023-02-23,7
1585937137549766666,C44758887,梭织,1,2022-11-08,2022-12-20,6
1585937137549766667,C44758887,梭织,1,2022-11-08,2023-02-07,11
1585937137549766668,C44758887,梭织,1,2022-11-08,2023-02-14,6
1585937137549766669,C44758887,梭织,1,2022-11-08,2023-02-28,6
1585937137553960980,C44777678,梭织,1,2022-12-01,2023-03-28,1
1585937137558155266,C44777678,梭织,1,2022-12-01,2022-12-20,3
1585937137558155267,C44777678,梭织,1,2022-12-01,2023-02-07,11
1585937137562349580,C44829335,梭织,1,2022-11-26,2022-12-20,3
1585937137562349581,C44829334,梭织,1,2022-11-26,2022-12-20,3
1585937137566543879,C44907564,梭织,1,2022-11-08,2023-02-14,7
1585937137566543880,C44912852,梭织,2,2022-11-14,2022-12-20,7
1585937137566543881,C44912852,梭织,2,2022-11-14,2023-02-07,14
1585937137566543882,C44912852,梭织,2,2022-11-14,2023-02-14,7
1585937137566543883,C44912852,梭织,2,2022-11-14,2023-02-28,7
1585937137566543894,C44963963,梭织,1,2022-11-14,2023-02-14,2
1585937137566543895,C44963963,梭织,1,2022-11-14,2023-02-23,3
1585937137566543896,C45053738,梭织,1,2022-11-14,2022-12-20,3
1585937137566543897,C45053738,梭织,1,2022-11-14,2023-02-07,9
1585937137574932489,C46553231,梭织,1,2022-11-14,2022-12-20,5
1585937137574932490,C46553231,梭织,1,2022-11-14,2023-02-07,10
1585937137574932491,C46553231,梭织,1,2022-11-14,2023-02-14,5
1585937137574932492,C46553231,梭织,1,2022-11-14,2023-02-28,5
1585937137574932506,C46491687,梭织,2,2022-11-14,2023-02-14,13
1585937137574932507,C46491687,梭织,2,2022-11-14,2023-02-23,18
1585937137574932508,C46491687,梭织,2,2022-11-14,2023-03-02,13
1585937137583321113,C46491686,梭织,1,2022-11-14,2023-02-14,5
1585937137583321114,C46491686,梭织,1,2022-11-14,2023-02-23,7
1585937137583321119,C46675215,梭织,1,2022-11-19,2022-12-20,3
1585937137587515425,C44778516,梭织,1,2022-11-14,2022-12-20,3
1585937137587515426,C44778516,梭织,1,2022-11-14,2023-02-07,9
1585937137595904005,C46499914,梭织,1,2022-11-14,2023-02-14,5
1585937137595904006,C46317953,梭织,1,2022-10-05,2023-02-14,4
1585937137595904007,C46317953,梭织,1,2022-10-05,2023-02-23,6
1585937137600098308,C47524159,梭织,1,2022-11-26,2023-02-14,2
1585937137600098321,C47328080,梭织,1,2022-11-26,2023-02-14,2
1585937137600098325,C44726008,梭织,1,2022-11-14,2022-12-20,6
1585937137604292611,C44698773,梭织,1,2022-11-26,2022-12-20,4
1585937137604292612,C44698773,梭织,1,2022-11-26,2023-02-07,8
1585937137604292613,C44698773,梭织,1,2022-11-26,2023-02-14,4
1585937137604292614,C44698773,梭织,1,2022-11-26,2023-02-28,4
1585937137604292622,C44758885,梭织,1,2022-11-14,2023-03-02,3
1585937137604292623,C44758885,梭织,1,2022-11-14,2023-03-20,5
1585937137604292624,C46810723,梭织,2,2022-11-14,2023-02-14,17
1585937137604292625,C46810723,梭织,2,2022-11-14,2023-02-23,17
1585937137604292626,C46810723,梭织,2,2022-11-14,2023-03-02,17
1585937137604292627,C46810723,梭织,2,2022-11-14,2023-03-09,6
1585937137621069830,C49425182,梭织,1,2022-11-14,2023-02-14,2
1585937137621069831,C49425182,梭织,1,2022-11-14,2023-02-23,3
1585937137621069844,C49388371,梭织,2,2022-11-14,2023-02-14,8
1585937137621069845,C49388371,梭织,2,2022-11-14,2023-02-23,12
1585937137621069848,C49387633,梭织,1,2022-11-19,2022-12-20,3
1585937137625264131,C49109240,梭织,1,2022-11-14,2023-02-14,3
1585937137625264157,C45048169,梭织,1,2022-11-25,2022-12-20,8
1585937137625264158,C45048169,梭织,1,2022-11-25,2023-02-07,15
1585937137625264159,C45048169,梭织,1,2022-11-25,2023-02-14,8
1585937137625264160,C45048169,梭织,1,2022-11-25,2023-02-28,8
1585937137625264162,C49246446,梭织,2,2022-11-25,2022-12-20,7
1585937137625264163,C49246446,梭织,2,2022-11-25,2023-02-07,14
1585937137625264164,C49246446,梭织,2,2022-11-25,2023-02-14,7
1585937137625264165,C49246446,梭织,2,2022-11-25,2023-02-28,7
1585937137633652755,C49268681,梭织,4,2022-11-14,2023-02-14,75
1585937137633652756,C49268681,梭织,4,2022-11-14,2023-02-23,75
1585937137633652757,C49268681,梭织,4,2022-11-14,2023-03-02,75
1585937137633652758,C49268681,梭织,4,2022-11-14,2023-03-09,25
1585937137633652761,C47902743,梭织,3,2022-10-27,2022-12-20,16
1585937137633652762,C47902743,梭织,3,2022-10-27,2023-02-07,31
1585937137637847042,C47902743,梭织,3,2022-10-27,2023-02-14,16
1585937137637847043,C47902743,梭织,3,2022-10-27,2023-02-28,16
1585937137642041381,C49393264,梭织,3,2022-11-26,2023-02-14,17
1585937137642041382,C49393264,梭织,3,2022-11-26,2023-02-23,17
1585937137646235650,C49393264,梭织,3,2022-11-26,2023-03-02,17
1585937137646235651,C49393264,梭织,3,2022-11-26,2023-03-09,6
1585937137646235652,C49288746,梭织,1,2022-10-27,2022-12-20,6
1585937137646235686,C49288751,梭织,1,2022-11-26,2023-02-14,5
1585937137650429955,C49288748,梭织,3,2022-11-08,2023-02-14,38
1585937137650429956,C49288748,梭织,3,2022-11-08,2023-02-23,38
1585937137650429957,C49288748,梭织,3,2022-11-08,2023-03-02,38
1585937137650429958,C49288748,梭织,3,2022-11-08,2023-03-09,13
1585937137650429959,C44923613,梭织,1,2022-11-14,2022-12-20,7
1585937137650429963,C47328074,梭织,1,2022-11-26,2023-02-14,3
1585937137650429964,C47342209,梭织,1,2022-11-26,2023-02-14,2
1585937137650429968,C50324451,梭织,1,2022-11-08,2022-12-20,8
