item_id,brand,channel,fabric_category,age_group,item_capacity_group,share_level
C49809773,巴拉巴拉,巴拉巴拉线上,针织,婴童,针织大类,3
C49474951,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类,3
C45988277,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类,2
C47328067,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,3
C44802074,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类,1
C44703356,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,2
C44773805,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,1
C44698460,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,1
C47328068,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,2
C44731570,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,1
C44725892,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,2
C46684820,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类,2
C44859403,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类,2
C50476862,巴拉巴拉,巴拉巴拉线上,针织,婴童,针织大类,1
C46357350,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,3
C50179604,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类,1
C47043358,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,2
C44741030,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类,2
C46917802,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,2
C45262939,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类,2
C44758888,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,3
C49286003,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,3
C47218998,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类,1
C44742538,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类,3
C47031808,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,1
C49645113,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,1
C49645115,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,3
C45990097,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类,1
C44729115,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,3
C45460454,巴拉巴拉,巴拉巴拉线上,针织,婴童,针织大类,1
C44813260,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,1
C45460444,巴拉巴拉,巴拉巴拉线上,针织,婴童,针织大类,3
C47397735,巴拉巴拉,巴拉巴拉线上,针织,婴童,针织大类,2
C45496365,巴拉巴拉,巴拉巴拉线上,针织,婴童,针织大类,3
C45975658,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类,2
C44773807,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,3
C44741029,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类,2
C44731575,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,3
C46810726,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,1
C44730643,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,3
C44892141,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类,1
C44813261,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,1
C49468374,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类,2
C47463350,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,1
C47177623,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类,1
C47328073,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,1
C44730637,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,2
C45763728,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类,3
C45053743,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,1
C44731568,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,3
C45639905,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类,2
C49386477,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,3
