order_id,item_id,fabric_category,max_production_limit,arrival_date,due_date,capacity_needed
1585937125155598347,C45262939,针织,1,2023-04-03,2023-04-29,13
1585937125159792642,C45262939,针织,1,2022-11-17,2023-02-18,6
1585937125159792643,C45262939,针织,1,2022-11-17,2023-02-25,9
1585937125159792644,C45262939,针织,1,2022-11-17,2023-03-04,9
1585937125159792645,C45262939,针织,1,2022-11-17,2023-03-11,6
1585937125180764166,C45460454,针织,1,2023-04-03,2023-04-29,8
1585937125180764167,C45460454,针织,1,2022-11-17,2023-02-18,4
1585937125180764168,C45460454,针织,1,2022-11-17,2023-02-25,4
1585937125180764169,C45460454,针织,1,2022-11-17,2023-03-04,2
1585937125184958473,C45639905,针织,1,2023-02-18,2023-04-01,8
1585937125184958474,C45639905,针织,1,2022-11-17,2023-01-06,7
1585937125184958475,C45639905,针织,1,2022-11-17,2023-02-11,7
1585937125184958476,C45639905,针织,1,2022-11-17,2023-02-18,4
1585937125189152789,C45976245,针织,1,2022-11-17,2023-02-18,11
1585937125189152790,C45976245,针织,1,2022-11-17,2023-02-25,11
1585937125189152791,C45976245,针织,1,2022-11-17,2023-03-04,6
1585937125189152792,C45990097,针织,1,2022-11-17,2023-02-18,7
1585937125193347074,C45990097,针织,1,2022-11-17,2023-02-25,7
1585937125193347075,C45990097,针织,1,2022-11-17,2023-03-04,4
1585937125201735694,C45763728,针织,1,2022-11-17,2023-03-04,3
1585937125205929991,C46716991,针织,1,2022-11-17,2023-01-06,7
1585937125205929992,C46716991,针织,1,2022-11-17,2023-02-11,10
1585937125205929993,C46716991,针织,1,2022-11-17,2023-02-18,10
1585937125205929994,C46716991,针织,1,2022-11-17,2023-02-25,7
1585937125210124293,C45460444,针织,1,2023-02-25,2023-03-22,6
1585937125210124294,C45460444,针织,1,2022-11-17,2023-02-11,6
1585937125210124295,C45460444,针织,1,2022-11-17,2023-02-18,6
1585937125210124296,C45460444,针织,1,2022-11-17,2023-02-25,3
1585937125218512913,C45969314,针织,3,2022-11-17,2023-01-06,16
1585937125218512914,C45969314,针织,3,2022-11-17,2023-02-11,24
1585937125218512915,C45969314,针织,3,2022-11-17,2023-02-18,24
1585937125218512916,C45969314,针织,3,2022-11-17,2023-02-25,16
1585937125239484426,C45726080,针织,1,2022-11-17,2023-02-18,7
1585937125239484427,C45726080,针织,1,2022-11-17,2023-02-25,7
1585937125239484428,C45726080,针织,1,2022-11-17,2023-03-04,4
1585937125243678727,C47397735,针织,1,2022-11-17,2023-02-25,5
1585937125243678728,C47397735,针织,1,2022-11-17,2023-03-04,5
1585937125243678729,C47397735,针织,1,2022-11-17,2023-03-11,3
1585937125256261650,C47218998,针织,2,2022-11-17,2023-02-11,13
1585937125256261651,C47218998,针织,2,2022-11-17,2023-02-18,13
1585937125256261652,C47218998,针织,2,2022-11-17,2023-02-25,7
1585937125256261655,C49809773,针织,1,2022-11-17,2023-01-06,6
1585937125260455937,C49809773,针织,1,2022-11-17,2023-02-11,9
1585937125260455938,C49809773,针织,1,2022-11-17,2023-02-18,9
1585937125260455939,C49809773,针织,1,2022-11-17,2023-02-25,6
1585937125260455945,C46137356,针织,1,2022-11-17,2023-02-11,9
1585937125260455946,C46137356,针织,1,2022-11-17,2023-02-18,9
1585937125260455947,C46137356,针织,1,2022-11-17,2023-02-25,5
1585937125264650257,C45975658,针织,2,2022-11-17,2023-02-11,18
1585937125264650258,C45975658,针织,2,2022-11-17,2023-02-18,18
1585937125264650259,C45975658,针织,2,2022-11-17,2023-02-25,9
1585937125264650260,C45988277,针织,2,2022-11-17,2023-01-06,15
1585937125264650261,C45988277,针织,2,2022-11-17,2023-02-11,15
1585937125264650262,C45988277,针织,2,2022-11-17,2023-02-18,8
1585937125264650266,C47177623,针织,1,2022-11-17,2023-02-11,4
1585937125264650267,C47177623,针织,1,2022-11-17,2023-02-18,4
1585937125264650268,C47177623,针织,1,2022-11-17,2023-02-25,2
1585937125268844554,C50179604,针织,2,2022-11-17,2023-02-18,12
1585937125268844555,C50179604,针织,2,2022-11-17,2023-02-25,18
1585937125268844556,C50179604,针织,2,2022-11-17,2023-03-04,18
1585937125268844557,C50179604,针织,2,2022-11-17,2023-03-11,12
1585937125268844561,C50110229,针织,1,2023-04-03,2023-04-29,6
1585937125273038849,C50110229,针织,1,2022-11-17,2023-02-18,5
1585937125273038850,C50110229,针织,1,2022-11-17,2023-02-25,5
1585937125273038851,C50110229,针织,1,2022-11-17,2023-03-04,3
1585937125273038870,C45496365,针织,1,2022-11-17,2023-01-06,8
1585937125273038871,C45496365,针织,1,2022-11-17,2023-02-11,8
1585937125273038872,C45496365,针织,1,2022-11-17,2023-02-18,4
1585937125273038874,C50476862,针织,1,2022-11-17,2023-02-25,5
1585937125273038875,C50476862,针织,1,2022-11-17,2023-03-04,5
1585937125273038876,C50476862,针织,1,2022-11-17,2023-03-11,3
1585937125281427465,C44859403,针织,1,2022-11-25,2023-03-07,5
1585937125281427466,C44859403,针织,1,2022-11-25,2023-03-24,7
1585937125281427471,C44742545,针织,1,2022-11-25,2023-02-18,1
1585937125281427478,C44685173,针织,1,2022-11-15,2022-12-24,4
1585937125285621776,C44741029,针织,1,2022-11-14,2023-02-18,5
1585937125285621777,C44741029,针织,1,2022-11-14,2023-02-28,8
1585937125285621778,C44741030,针织,1,2022-11-14,2023-04-12,3
1585937125285621779,C44741030,针织,1,2022-11-14,2023-02-18,4
1585937125285621780,C44741030,针织,1,2022-11-14,2023-02-28,6
1585937125294010387,C44685159,针织,1,2022-11-15,2022-12-24,3
1585937125294010394,C44773805,针织,1,2022-11-08,2022-12-24,2
