item_id,brand,channel,fabric_category,age_group,item_capacity_group,share_level
C44741046,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织外套,2
C45970841,巴拉巴拉,巴拉巴拉线上,梭织,非婴童,梭织裤子,1
C49288751,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子,1
C44697717,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织外套,2
C45763725,巴拉巴拉,巴拉巴拉线上,梭织,非婴童,梭织裙子,2
C44731576,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裤子,1
C51587484,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子,3
C44746091,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织外套,2
C47498619,巴拉巴拉,巴拉巴拉线上,梭织,非婴童,梭织裙子,2
C49246446,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裤子,2
C44741715,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织裙子,3
C47352954,巴拉巴拉,巴拉巴拉线上,梭织,婴童,梭织外套,3
C48610519,巴拉巴拉,巴拉巴拉线上,梭织,婴童,梭织裙子,1
C44921318,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织裤子,2
C44741045,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织外套,3
C49360128,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子,2
C45974320,巴拉巴拉,巴拉巴拉线上,梭织,非婴童,梭织外套,3
C44697710,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子,2
C44729709,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裤子,2
C44698782,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子,2
C46869876,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织外套,1
C46491687,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织外套,3
C46675215,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织裤子,1
C44912852,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子,2
C46295653,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织外套,2
C44723560,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裤子,2
C44731831,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裤子,3
C44730845,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子,3
C47328072,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裤子,1
C44907564,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织外套,3
C46579508,巴拉巴拉,巴拉巴拉线上,梭织,非婴童,梭织裤子,3
C44876885,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织外套,3
C45763724,巴拉巴拉,巴拉巴拉线上,梭织,非婴童,梭织裙子,3
C44685161,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织婴童,2
C44697703,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子,2
C49288746,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子,2
C50261839,巴拉巴拉,巴拉巴拉线上,梭织,婴童,梭织裤子,2
C49425182,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织裤子,3
C45726096,巴拉巴拉,巴拉巴拉线上,梭织,非婴童,梭织裙子,2
C44746098,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织婴童,2
C44731566,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子,3
C49288748,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子,1
C47336630,巴拉巴拉,巴拉巴拉线上,梭织,非婴童,梭织裙子,2
C47231494,巴拉巴拉,巴拉巴拉线上,梭织,婴童,梭织裤子,3
C45726079,巴拉巴拉,巴拉巴拉线上,梭织,非婴童,梭织裤子,1
C47276064,巴拉巴拉,巴拉巴拉线上,梭织,非婴童,梭织裙子,2
C46491686,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织外套,3
C49365828,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织外套,1
C44746404,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织裤子,1
C46327778,巴拉巴拉,巴拉巴拉线上,梭织,非婴童,梭织裙子,1
C44922972,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织裤子,3
C45074314,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织外套,3
C47336633,巴拉巴拉,巴拉巴拉线上,梭织,非婴童,梭织裙子,1
C44829350,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织外套,2
C44729937,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裤子,3
C44729711,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裤子,2
C46810728,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裤子,3
C44741037,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织外套,3
C46499914,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织外套,2
C49632941,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子,3
C49645108,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织外套,2
C47668639,巴拉巴拉,巴拉巴拉线上,梭织,非婴童,梭织裙子,1
C45994117,巴拉巴拉,巴拉巴拉线上,梭织,非婴童,梭织裙子,3
C49268684,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子,3
C44729935,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裤子,3
C49331834,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织外套,2
C44741042,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织裤子,3
C44829342,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裤子,3
C44729710,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裤子,3
C49109240,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织婴童,2
C44741722,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织裙子,3
C44876894,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织裙子,2
C47328074,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裤子,3
C47274158,巴拉巴拉,巴拉巴拉线上,梭织,非婴童,梭织外套,3
C49153182,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裤子,1
C45056062,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织裙子,3
C44772052,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子,1
C44729593,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裤子,1
C47402801,巴拉巴拉,巴拉巴拉线上,梭织,婴童,梭织婴童,2
C47524159,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织外套,3
C45249097,巴拉巴拉,巴拉巴拉线上,梭织,非婴童,梭织裤子,3
C47336628,巴拉巴拉,巴拉巴拉线上,梭织,非婴童,梭织裙子,1
C44729275,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织外套,3
C49439448,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子,1
C44742540,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织裤子,1
C49153184,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裤子,1
C44725898,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裤子,2
C44813257,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裤子,3
C46421494,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裤子,1
C44730842,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子,2
C50225015,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织婴童,2
C47342969,巴拉巴拉,巴拉巴拉线上,梭织,婴童,梭织外套,3
C44731833,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裤子,1
C45127535,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织裤子,2
C46579506,巴拉巴拉,巴拉巴拉线上,梭织,非婴童,梭织裤子,3
C45262951,巴拉巴拉,巴拉巴拉线上,梭织,非婴童,梭织外套,3
C49409373,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织裤子,3
C48289051,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织外套,1
C44741718,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织裙子,2
C49393264,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子,2
C44730849,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子,1
C44773811,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织外套,1
C44923613,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织裙子,2
C49388371,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织婴童,3
C44697711,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子,3
C44742537,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织外套,3
C44741721,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织裙子,3
C44758886,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织外套,2
C44742531,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织裤子,1
C44812958,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子,2
C44802076,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织婴童,2
C44849361,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织外套,2
C45988274,巴拉巴拉,巴拉巴拉线上,梭织,非婴童,梭织外套,3
C44758887,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织外套,1
C46248035,巴拉巴拉,巴拉巴拉线上,梭织,非婴童,梭织裤子,2
C50324451,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子,1
C49241566,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裤子,1
C44829341,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裤子,1
C44746405,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织裤子,1
C44726005,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裤子,3
C44729290,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织外套,1
C44698774,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织外套,2
C45763723,巴拉巴拉,巴拉巴拉线上,梭织,非婴童,梭织裙子,3
C44723573,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裤子,1
C44730836,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子,2
C50579769,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子,2
C49288749,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子,2
C44741723,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织裙子,2
C46810723,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子,2
C49392875,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织外套,3
C47902743,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子,3
C47571533,巴拉巴拉,巴拉巴拉线上,梭织,非婴童,梭织外套,2
C50032320,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裤子,1
C44730841,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子,1
C44730844,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子,1
C49365632,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织裙子,2
C45496354,巴拉巴拉,巴拉巴拉线上,梭织,婴童,梭织裙子,1
C44729701,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裤子,2
C47988742,巴拉巴拉,巴拉巴拉线上,梭织,非婴童,梭织裙子,3
C44741338,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织裤子,3
C47413675,巴拉巴拉,巴拉巴拉线上,梭织,非婴童,梭织外套,3
C44697718,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织外套,3
C45990735,巴拉巴拉,巴拉巴拉线上,梭织,非婴童,梭织裤子,2
C44698773,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织外套,3
C44731839,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子,2
C45048170,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裤子,2
C45133818,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织裙子,3
C47354229,巴拉巴拉,巴拉巴拉线上,梭织,婴童,梭织婴童,2
C46184464,巴拉巴拉,巴拉巴拉线上,梭织,非婴童,梭织裙子,1
C49396274,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织裤子,3
C47451546,巴拉巴拉,巴拉巴拉线上,梭织,非婴童,梭织裤子,3
C45262941,巴拉巴拉,巴拉巴拉线上,梭织,非婴童,梭织裤子,3
C45262942,巴拉巴拉,巴拉巴拉线上,梭织,非婴童,梭织裤子,2
C44730838,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子,2
C46442046,巴拉巴拉,巴拉巴拉线上,梭织,非婴童,梭织裤子,3
C44829333,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子,1
C49362252,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织外套,1
C49109239,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织婴童,3
C49401156,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织裤子,1
C44829349,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织外套,2
C47354815,巴拉巴拉,巴拉巴拉线上,梭织,非婴童,梭织裤子,1
C44829331,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子,2
C44730847,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子,2
C44829338,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子,3
C45969310,巴拉巴拉,巴拉巴拉线上,梭织,非婴童,梭织外套,3
C47916596,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裤子,3
C44698771,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织外套,2
C45056066,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织裙子,2
C44773813,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子,1
C44829348,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织外套,3
C44778516,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裤子,3
C47251063,巴拉巴拉,巴拉巴拉线上,梭织,非婴童,梭织裤子,2
C46553231,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织裤子,3
C44685174,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织婴童,1
C49268682,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子,2
C47498433,巴拉巴拉,巴拉巴拉线上,梭织,婴童,梭织裙子,2
C49268683,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子,2
C44963963,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织裤子,3
C44698766,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织外套,2
C44897259,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裤子,3
C44730835,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子,3
C46298262,巴拉巴拉,巴拉巴拉线上,梭织,非婴童,梭织外套,2
C47031805,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织外套,1
