item_id,brand,channel,fabric_category,age_group,item_capacity_group,share_level
C47031815,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,3
C45969314,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类,1
C47067832,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,3
C45074313,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,1
C47309562,巴拉巴拉,巴拉巴拉线上,针织,婴童,针织大类,1
C45726092,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类,1
C47770710,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类,2
C45726089,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类,1
C44741027,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类,2
C49247351,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,3
C44729118,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,3
C45262952,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类,3
C47381950,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类,1
C44729703,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,3
C45120193,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,1
C44741032,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类,1
C44698459,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,1
C44756393,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,2
C45262944,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类,1
C44723555,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,3
C46329325,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,2
C44725893,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,1
C44685160,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类,2
C49360935,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,2
C44729127,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,2
C44731568,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,3
C47526539,巴拉巴拉,巴拉巴拉线上,针织,婴童,针织大类,2
C47645309,巴拉巴拉,巴拉巴拉线上,针织,婴童,针织大类,1
C44730631,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,1
C50179604,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类,1
C50180619,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类,2
C45496370,巴拉巴拉,巴拉巴拉线上,针织,婴童,针织大类,3
C49359302,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,1
C47177623,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类,1
C44698087,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,3
C45496371,巴拉巴拉,巴拉巴拉线上,针织,婴童,针织大类,1
C44742545,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类,2
C44741725,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类,2
C44777676,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,3
C44756354,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,2
C44773807,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,3
C45496368,巴拉巴拉,巴拉巴拉线上,针织,婴童,针织大类,1
C44686217,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类,1
C46268997,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,3
C47368848,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类,3
C47553195,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类,2
C49243349,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,1
C45576342,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类,2
C50359875,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类,2
C47328068,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,2
C44723564,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,3
C44983441,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,2
C45053742,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,2
C44698465,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,1
C44741031,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类,1
C49286002,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,2
C49645113,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,1
C45986670,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类,3
C47786980,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,3
C46357350,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,3
C45763728,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类,3
C45460456,巴拉巴拉,巴拉巴拉线上,针织,婴童,针织大类,3
C45986675,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类,1
C49354960,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,3
C44731575,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,3
C44741335,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类,2
C47883044,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,3
C46305998,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类,3
C44730833,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,3
C44729704,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,1
C44685164,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类,3
C46297887,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类,1
C46917804,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,1
C44725892,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,2
C44730630,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,3
C50433631,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类,3
C46684820,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类,2
C44730638,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,1
C45249099,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类,3
C47033638,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,3
C46686619,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类,3
C46364837,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类,3
C45053741,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,3
C49339781,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类,1
C47909998,巴拉巴拉,巴拉巴拉线上,针织,婴童,针织大类,1
C44729702,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,2
C44698458,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,1
C44697719,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,2
C44829346,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,2
C45496365,巴拉巴拉,巴拉巴拉线上,针织,婴童,针织大类,3
C49645103,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,2
C46305996,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类,1
C45988275,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类,1
C49474951,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类,3
C47328067,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,3
C49207597,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,2
C45262950,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类,1
C44729941,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,1
C46810726,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,1
C49383577,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,1
C47571532,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类,3
C49469279,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,2
C45966872,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类,2
C44685159,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类,3
C44859405,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类,1
C46703839,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,2
C45976245,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类,1
C47607396,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类,3
C47368840,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类,2
C47328078,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,2
C44892141,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类,1
C45249088,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类,1
C44729292,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,3
C47206321,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类,3
C44729121,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,3
C44729116,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,1
C44861684,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,2
