order_id,item_id,fabric_category,max_production_limit,arrival_date,due_date,capacity_needed
1585937125143015429,C47607395,针织,1,2022-11-17,2023-02-13,4
1585937125147209730,C47607395,针织,1,2022-11-17,2023-02-20,4
1585937125147209731,C47607395,针织,1,2022-11-17,2023-02-27,2
1585937125147209732,C44861684,针织,2,2022-11-14,2022-12-24,24
1585937125147209733,C44861684,针织,2,2022-11-14,2023-02-13,16
1585937125147209734,C44729116,针织,1,2022-11-14,2022-12-24,8
1585937125147209735,C44729116,针织,1,2022-11-14,2023-02-13,15
1585937125147209736,C44729116,针织,1,2022-11-14,2023-02-20,8
1585937125147209737,C44729116,针织,1,2022-11-14,2023-03-06,8
1585937125147209742,C46554773,针织,1,2022-11-25,2023-03-08,4
1585937125147209743,C46554773,针织,1,2022-11-25,2023-03-25,5
1585937125151404036,C45249088,针织,1,2023-02-04,2023-03-11,21
1585937125151404037,C45249088,针织,1,2022-11-17,2023-01-06,6
1585937125151404038,C45249088,针织,1,2022-11-17,2023-02-11,8
1585937125151404039,C45249088,针织,1,2022-11-17,2023-02-18,8
1585937125151404040,C45249088,针织,1,2022-11-17,2023-02-25,6
1585937125151404045,C45262944,针织,2,2023-02-04,2023-03-11,40
1585937125155598338,C45262944,针织,2,2022-11-17,2023-01-06,10
1585937125155598339,C45262944,针织,2,2022-11-17,2023-02-11,15
1585937125155598340,C45262944,针织,2,2022-11-17,2023-02-18,15
1585937125155598341,C45262944,针织,2,2022-11-17,2023-02-25,10
1585937125155598342,C45262950,针织,3,2023-02-04,2023-03-11,69
1585937125155598343,C45262950,针织,3,2022-11-17,2023-01-06,17
1585937125155598344,C45262950,针织,3,2022-11-17,2023-02-11,26
1585937125155598345,C45262950,针织,3,2022-11-17,2023-02-18,26
1585937125155598346,C45262950,针织,3,2022-11-17,2023-02-25,17
1585937125159792646,C45726092,针织,1,2023-03-11,2023-04-20,15
1585937125159792647,C45726092,针织,1,2022-11-17,2023-02-18,4
1585937125159792648,C45726092,针织,1,2022-11-17,2023-02-25,6
1585937125159792649,C45726092,针织,1,2022-11-17,2023-03-04,6
1585937125159792650,C45726092,针织,1,2022-11-17,2023-03-11,4
1585937125159792654,C45496370,针织,3,2023-03-01,2023-03-23,9
1585937125163986945,C45496370,针织,3,2022-11-17,2023-01-06,13
1585937125163986946,C45496370,针织,3,2022-11-17,2023-02-11,20
1585937125163986947,C45496370,针织,3,2022-11-17,2023-02-18,20
1585937125163986948,C45496370,针织,3,2022-11-17,2023-02-25,13
1585937125163986953,C45502007,针织,1,2023-03-01,2023-03-24,5
1585937125163986954,C45502007,针织,1,2022-11-17,2023-01-06,10
1585937125163986955,C45502007,针织,1,2022-11-17,2023-02-11,10
1585937125163986956,C45502007,针织,1,2022-11-17,2023-02-18,5
1585937125168181252,C46305998,针织,1,2022-11-17,2023-01-06,4
1585937125168181253,C46305998,针织,1,2022-11-17,2023-02-11,6
1585937125168181254,C46305998,针织,1,2022-11-17,2023-02-18,6
1585937125168181255,C46305998,针织,1,2022-11-17,2023-02-25,4
1585937125168181256,C45986667,针织,1,2022-11-17,2023-01-06,10
1585937125168181257,C45986667,针织,1,2022-11-17,2023-02-11,15
1585937125168181258,C45986667,针织,1,2022-11-17,2023-02-18,15
1585937125168181259,C45986667,针织,1,2022-11-17,2023-02-25,10
1585937125168181260,C46305995,针织,1,2022-11-17,2023-02-11,10
1585937125168181261,C46305995,针织,1,2022-11-17,2023-02-18,15
1585937125168181262,C46305995,针织,1,2022-11-17,2023-02-25,15
1585937125168181263,C46305995,针织,1,2022-11-17,2023-03-04,10
1585937125168181264,C46305996,针织,1,2022-11-17,2023-02-11,10
1585937125168181265,C46305996,针织,1,2022-11-17,2023-02-18,15
1585937125168181266,C46305996,针织,1,2022-11-17,2023-02-25,15
1585937125168181267,C46305996,针织,1,2022-11-17,2023-03-04,10
1585937125180764170,C45496371,针织,2,2023-02-25,2023-03-22,8
