item_id,brand,channel,fabric_category,age_group,item_capacity_group,share_level
C44723568,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,2
C44698470,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,2
C47043358,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,2
C44758888,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,3
C44902432,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类,2
C44983441,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,2
C47408148,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类,2
C44685166,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类,2
C44746402,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类,2
C48654649,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类,2
C45986675,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类,1
C47309562,巴拉巴拉,巴拉巴拉线上,针织,婴童,针织大类,1
C49383577,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,1
C47328078,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,2
C44892141,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类,1
C44746401,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类,1
C46716991,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类,2
C46554317,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类,3
C44730833,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,3
C44731843,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,2
C47031807,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,3
C44786127,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类,1
C49645103,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,2
C44741038,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类,3
C45966874,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类,3
C44729118,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,3
C44729119,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,2
C49359608,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,2
C44697719,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,2
C47043357,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,1
C48018501,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,3
C44729285,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,1
C50359875,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类,2
C45262949,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类,3
C44730635,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,3
C46268997,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,3
C44698087,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,3
C47328076,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,1
C49243350,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,3
C47610837,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类,2
C49354961,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,3
C49153183,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,2
C46292497,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,3
C45726080,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类,2
C49809773,巴拉巴拉,巴拉巴拉线上,针织,婴童,针织大类,3
C49645111,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,2
C47328067,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,3
C49354962,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,2
C50214011,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类,2
C44686216,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类,1
C45053743,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,1
C49228455,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,2
C44685170,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类,2
C45053739,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,1
C50180619,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类,2
C44876886,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类,3
C49339780,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类,2
C45262945,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类,2
C44726007,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,1
C45730321,巴拉巴拉,巴拉巴拉线上,针织,婴童,针织大类,2
C47381950,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类,1
C45502009,巴拉巴拉,巴拉巴拉线上,针织,婴童,针织大类,1
C45726088,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类,3
C47043352,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,3
C46329325,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,2
C47368840,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类,2
C50263259,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类,1
C44685160,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类,2
C45249088,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类,1
C47413101,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类,1
C44729112,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,2
C44741333,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类,3
C50160231,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类,2
C49207597,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,2
C44729939,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,3
C44773818,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,1
C49645115,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,3
C49235830,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,3
C47368841,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类,1
C45976245,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类,1
C45502007,巴拉巴拉,巴拉巴拉线上,针织,婴童,针织大类,2
C47786980,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,3
C44742544,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类,2
C44730643,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,3
C46305995,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类,2
C45988277,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类,2
C49268686,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,3
C44729704,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,1
C44741337,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类,3
C44741039,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类,3
C44729111,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,2
C46675214,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类,3
C44829347,巴拉巴拉,巴拉巴拉线下,针织,非婴童,针织大类,2
C47977244,巴拉巴拉,巴拉巴拉线上,针织,婴童,针织大类,2
C45496367,巴拉巴拉,巴拉巴拉线上,针织,婴童,针织大类,3
C44741714,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类,2
C45496371,巴拉巴拉,巴拉巴拉线上,针织,婴童,针织大类,1
C45969314,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类,1
C49474951,巴拉巴拉,巴拉巴拉线下,针织,婴童,针织大类,3
C47218995,巴拉巴拉,巴拉巴拉线上,针织,非婴童,针织大类,1
