item_id,brand,channel,fabric_category,age_group,item_capacity_group,share_level
C45048170,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裤子,2
C47325915,巴拉巴拉,巴拉巴拉线上,梭织,非婴童,梭织裙子,2
C44723558,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裤子,2
C45262951,巴拉巴拉,巴拉巴拉线上,梭织,非婴童,梭织外套,3
C49268683,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子,2
C44725898,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裤子,2
C44697714,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子,3
C49241566,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裤子,1
C45127535,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织裤子,2
C44772406,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子,2
C46675215,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织裤子,1
C44729709,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裤子,2
C46687907,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子,1
C44685163,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织婴童,3
C45969310,巴拉巴拉,巴拉巴拉线上,梭织,非婴童,梭织外套,3
C45053738,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织外套,3
C47402801,巴拉巴拉,巴拉巴拉线上,梭织,婴童,梭织婴童,2
C44697707,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子,2
C47328080,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裤子,2
C44731831,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裤子,3
C44829342,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裤子,3
C44731576,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裤子,1
C44912852,巴拉巴拉,巴拉巴拉线下,梭织,非婴童,梭织裙子,2
C44746088,巴拉巴拉,巴拉巴拉线下,梭织,婴童,梭织外套,2
