machine_id,supplier_id,brand,channel,age_group,fabric_category,item_capacity_group,month,planned_capacity,available_capacity
7,0003000019,巴拉巴拉,巴拉巴拉线上,婴童,针织,针织大类,2022-07,0,0
7,0003000019,巴拉巴拉,巴拉巴拉线上,婴童,针织,针织大类,2022-08,0,0
7,0003000019,巴拉巴拉,巴拉巴拉线上,婴童,针织,针织大类,2022-09,0,0
7,0003000019,巴拉巴拉,巴拉巴拉线上,婴童,针织,针织大类,2022-10,0,0
7,0003000019,巴拉巴拉,巴拉巴拉线上,婴童,针织,针织大类,2022-11,19,28
7,0003000019,巴拉巴拉,巴拉巴拉线上,婴童,针织,针织大类,2022-12,19,28
7,0003000019,巴拉巴拉,巴拉巴拉线上,婴童,针织,针织大类,2023-01,1,1
7,0003000019,巴拉巴拉,巴拉巴拉线上,婴童,针织,针织大类,2023-02,0,0
7,0003000019,巴拉巴拉,巴拉巴拉线上,婴童,针织,针织大类,2023-03,38,57
7,0003000019,巴拉巴拉,巴拉巴拉线上,婴童,针织,针织大类,2023-04,43,65
7,0003000019,巴拉巴拉,巴拉巴拉线上,婴童,针织,针织大类,2023-05,0,0
55,0003000019,巴拉巴拉,巴拉巴拉线上,非婴童,针织,针织大类,2022-07,0,0
55,0003000019,巴拉巴拉,巴拉巴拉线上,非婴童,针织,针织大类,2022-08,0,0
55,0003000019,巴拉巴拉,巴拉巴拉线上,非婴童,针织,针织大类,2022-09,0,0
55,0003000019,巴拉巴拉,巴拉巴拉线上,非婴童,针织,针织大类,2022-10,0,0
55,0003000019,巴拉巴拉,巴拉巴拉线上,非婴童,针织,针织大类,2022-11,162,243
55,0003000019,巴拉巴拉,巴拉巴拉线上,非婴童,针织,针织大类,2022-12,162,243
55,0003000019,巴拉巴拉,巴拉巴拉线上,非婴童,针织,针织大类,2023-01,44,66
55,0003000019,巴拉巴拉,巴拉巴拉线上,非婴童,针织,针织大类,2023-02,17,25
55,0003000019,巴拉巴拉,巴拉巴拉线上,非婴童,针织,针织大类,2023-03,167,251
55,0003000019,巴拉巴拉,巴拉巴拉线上,非婴童,针织,针织大类,2023-04,96,144
55,0003000019,巴拉巴拉,巴拉巴拉线上,非婴童,针织,针织大类,2023-05,0,0
87,0003000019,巴拉巴拉,巴拉巴拉线下,婴童,针织,针织大类,2022-07,0,0
87,0003000019,巴拉巴拉,巴拉巴拉线下,婴童,针织,针织大类,2022-08,0,0
87,0003000019,巴拉巴拉,巴拉巴拉线下,婴童,针织,针织大类,2022-09,0,0
87,0003000019,巴拉巴拉,巴拉巴拉线下,婴童,针织,针织大类,2022-10,0,0
87,0003000019,巴拉巴拉,巴拉巴拉线下,婴童,针织,针织大类,2022-11,17,26
87,0003000019,巴拉巴拉,巴拉巴拉线下,婴童,针织,针织大类,2022-12,17,26
87,0003000019,巴拉巴拉,巴拉巴拉线下,婴童,针织,针织大类,2023-01,17,26
87,0003000019,巴拉巴拉,巴拉巴拉线下,婴童,针织,针织大类,2023-02,17,26
