order_id,item_id,fabric_category,max_production_limit,arrival_date,due_date,capacity_needed
1585937137574932502,C45316510,毛织,4,2022-11-02,2022-12-20,10
1585937137574932503,C45316510,毛织,4,2022-11-02,2023-02-07,37
1585937137574932509,C46488939,毛织,1,2022-10-15,2022-12-20,18
1585937137574932510,C44746094,毛织,3,2022-11-09,2023-02-14,17
1585937137574932511,C44746094,毛织,3,2022-11-09,2023-02-23,25
1585937137587515427,C44780413,毛织,1,2022-10-15,2022-12-20,7
1585937137587515428,C44780413,毛织,1,2022-10-15,2023-02-07,26
1585937137591709701,C44829340,毛织,1,2022-11-09,2022-12-20,3
1585937137591709722,C44742533,毛织,3,2022-10-15,2023-02-14,18
1585937137591709723,C44742533,毛织,3,2022-10-15,2023-02-23,26
1585937137595904024,C46499913,毛织,1,2022-11-08,2023-02-14,12
