,name,item_num,order_num,supplier_num,machine_num,objVal,Runtime,lowerBound,iteration,is_correct,finished_item_num,finished_order_num,pool_1,pool_2,pool_3,pool_4,pool_5
0,1,1,1,1,1,1.0,1.0,1.0,1,1,1,1,1,1,1,1.0,1.0
1,A_10_uat_1_full_针织,10,29,3,4,0.0,0.5540304183959961,0.0,1,检查正确,10,29,合格_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,培养_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,,,
2,A_11_uat_1_full_牛仔,10,9,3,3,0.0,0.1390073299407959,0.0,1,检查正确,3,9,核心_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,合格_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,培养_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,,
3,A_12_uat_1_full_牛仔,8,15,2,4,1200.0,0.0960080623626709,1200.0,1,检查正确,4,11,合格_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,培养_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,,,
4,A_13_uat_1_full_牛仔,8,11,3,3,0.0,0.08400964736938477,0.0,1,检查正确,5,11,核心_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,合格_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,,,
5,A_14_uat_1_full_牛仔,10,4,2,2,0.0,0.03899955749511719,0.0,1,检查正确,1,4,战略_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,核心_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,,,
6,A_15_uat_1_full_牛仔,8,8,3,3,0.0,0.14955353736877441,0.0,1,检查正确,2,8,核心_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,合格_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,培养_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,,
7,A_16_da_type_2_online_solve_梭织,8,26,3,6,2984.062499999998,0.8116970062255859,2984.062499999998,1,检查正确,6,20,合格_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,培养_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,,,
8,A_17_da_type_2_online_solve_梭织,10,29,3,8,2040.0,0.4698770046234131,2040.0,1,检查正确,8,23,核心_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,合格_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,,,
9,A_18_da_type_2_online_solve_梭织,10,26,3,3,1550.0,0.5682277679443359,1550.0,1,检查正确,9,23,核心_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,合格_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,,,
10,A_19_da_type_2_online_solve_梭织,8,22,3,3,0.0,0.6867713928222656,0.0,1,检查正确,8,22,合格_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,观察_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,,,
11,A_1_uat_1_full_梭织,8,20,2,7,2560.0,0.3124265670776367,2560.0,1,检查正确,6,14,核心_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,培养_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,,,
12,A_20_da_type_2_online_solve_梭织,8,27,3,6,0.0,0.29868125915527344,0.0,1,检查正确,8,27,核心_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,合格_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,,,
13,A_21_da_type_2_online_solve_毛织,8,24,4,11,1060.0,0.5334136486053467,1060.0,1,检查正确,7,21,核心_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,合格_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,,,
