,name,item_num,order_num,supplier_num,machine_num,objVal,Runtime,lowerBound,iteration,is_correct,finished_item_num,finished_order_num,pool_1,pool_2,pool_3,pool_4,pool_5
0,1,1,1,1,1,1.0,1.0,1.0,1,1,1,1,1,1,1,1,1.0
1,B_10_uat_1_full_针织,40,112,13,26,0.0,1.4275457859039307,0.0,1,检查正确,40,112,战略_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,核心_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,合格_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,培养_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,
2,B_11_da_type_2_online_solve_梭织,30,87,15,37,0.0,1.5466268062591553,0.0,1,检查正确,30,87,战略_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,核心_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,合格_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,培养_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,
3,B_12_da_type_2_online_solve_梭织,40,125,15,32,2700.0,2.5225443840026855,2700.0,1,检查正确,39,116,战略_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,核心_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,合格_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,培养_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,
4,B_13_da_type_2_online_solve_梭织,30,103,6,8,15800.0,0.8092403411865234,15800.0,1,检查正确,19,55,核心_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,合格_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,,,
5,B_14_da_type_2_online_solve_梭织,40,124,7,14,9490.0,1.9816594123840332,9490.0,1,检查正确,34,101,核心_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,合格_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,,,
6,B_15_da_type_2_online_solve_梭织,40,104,14,27,0.0,3.3407480716705322,0.0,1,检查正确,39,104,战略_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,核心_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,合格_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,培养_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,
7,B_16_da_type_2_online_solve_毛织,40,126,9,23,10559.999729467705,5.646745681762695,10559.999729467705,1,检查正确,33,101,核心_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,合格_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,培养_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,,
8,B_17_da_type_2_online_solve_毛织,30,100,9,22,6170.0,3.4578592777252197,6170.0,1,检查正确,28,89,核心_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,合格_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,培养_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,,
9,B_18_da_type_2_online_solve_毛织,40,133,10,25,3910.0,5.10104775428772,3910.0,1,检查正确,39,128,核心_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,合格_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,培养_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,,
