,name,item_num,order_num,supplier_num,machine_num,objVal,Runtime,MIPGap,finished_item_num,finished_order_num,pool_1,pool_2,pool_3,pool_4,pool_5
0,1,1,1,1,1,1.0,1.0,1,1,1,1,1,1,1,1.0
1,A_10_uat_1_full_针织,10,29,3,4,0.007150234368964448,10.035892486572266,0.00%,检查正确,10,29,合格_的产能规划达成率，最高为_0.5610_最低为_0.5603_平均产能规划达成率为_0.5605,培养_的产能规划达成率，最高为_0.6136_最低为_0.6136_平均产能规划达成率为_0.6136,,
2,A_11_uat_1_full_牛仔,10,9,3,3,0.0,0.03099822998046875,0.00%,检查正确,3,9,核心_的产能规划达成率，最高为_0.1681_最低为_0.1681_平均产能规划达成率为_0.1681,合格_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,培养_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,
3,A_12_uat_1_full_牛仔,8,15,2,4,1200.0,0.050975799560546875,0.00%,检查正确,4,11,合格_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,培养_的产能规划达成率，最高为_0.4889_最低为_0.4889_平均产能规划达成率为_0.4889,,
4,A_13_uat_1_full_牛仔,8,11,3,3,0.033693539082378265,0.06373405456542969,0.00%,检查正确,5,11,核心_的产能规划达成率，最高为_0.0938_最低为_0.0904_平均产能规划达成率为_0.0924,合格_的产能规划达成率，最高为_0.0756_最低为_0.0756_平均产能规划达成率为_0.0756,,
5,A_14_uat_1_full_牛仔,10,4,2,2,0.0,0.016002655029296875,0.00%,检查正确,1,4,战略_的产能规划达成率，最高为_0.0806_最低为_0.0806_平均产能规划达成率为_0.0806,核心_的产能规划达成率，最高为_0.0000_最低为_-0.0000_平均产能规划达成率为_0.0000,,
6,A_15_uat_1_full_牛仔,8,8,3,3,0.0,0.022003173828125,0.00%,检查正确,2,8,核心_的产能规划达成率，最高为_0.1313_最低为_0.1313_平均产能规划达成率为_0.1313,合格_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,培养_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,
7,A_16_da_type_2_online_solve_梭织,8,26,3,6,2928.822916666667,1.6334648132324219,0.00%,检查正确,6,20,合格_的产能规划达成率，最高为_1.1667_最低为_0.9250_平均产能规划达成率为_1.0156,培养_的产能规划达成率，最高为_0.3750_最低为_0.3750_平均产能规划达成率为_0.3750,,
8,A_17_da_type_2_online_solve_梭织,10,29,3,8,2042.9522467252527,0.4756050109863281,0.00%,检查正确,8,23,核心_的产能规划达成率，最高为_0.6081_最低为_0.3129_平均产能规划达成率为_0.5033,合格_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,,
9,A_18_da_type_2_online_solve_梭织,10,26,3,3,1550.1879084967313,1.0012893676757812,0.00%,检查正确,9,23,核心_的产能规划达成率，最高为_1.1438_最低为_1.1250_平均产能规划达成率为_1.1373,合格_的产能规划达成率，最高为_0.7917_最低为_0.7917_平均产能规划达成率为_0.7917,,
10,A_19_da_type_2_online_solve_梭织,8,22,3,3,0.138888887991925,0.6336269378662109,0.00%,检查正确,8,22,合格_的产能规划达成率，最高为_1.1389_最低为_1.1250_平均产能规划达成率为_1.1346,观察_的产能规划达成率，最高为_1.1111_最低为_1.1111_平均产能规划达成率为_1.1111,,
11,A_1_uat_1_full_梭织,8,20,2,7,2560.0,0.11800003051757812,0.00%,检查正确,6,14,核心_的产能规划达成率，最高为_0.2652_最低为_0.2652_平均产能规划达成率为_0.2652,培养_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,,
