,name,item_num,order_num,supplier_num,machine_num,objVal,Runtime,MIPGap,finished_item_num,finished_order_num,pool_1,pool_2,pool_3,pool_4,pool_5
0,1,1,1,1,1,1.0,1.0,1,1,1,1,1,1,1,1
1,B_10_uat_1_full_针织,40,112,13,26,1.3190786128870968,184.22928619384766,0.00%,检查正确,40,112,战略_的产能规划达成率，最高为_0.1269_最低为_0.0000_平均产能规划达成率为_0.1138,核心_的产能规划达成率，最高为_0.1144_最低为_0.1142_平均产能规划达成率为_0.1142,合格_的产能规划达成率，最高为_0.1077_最低为_0.1049_平均产能规划达成率为_0.1065,培养_的产能规划达成率，最高为_0.1068_最低为_0.1053_平均产能规划达成率为_0.1065
2,B_11_da_type_2_online_solve_梭织,30,87,15,37,1.656886332508293,10801.094146728516,0.005832,检查正确,30,87,战略_的产能规划达成率，最高为_0.7778_最低为_0.7760_平均产能规划达成率为_0.7767,核心_的产能规划达成率，最高为_0.3462_最低为_0.1822_平均产能规划达成率为_0.2264,合格_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,培养_的产能规划达成率，最高为_0.0000_最低为_-0.0000_平均产能规划达成率为_0.0000
3,B_12_da_type_2_online_solve_梭织,40,125,15,32,2701.2498623878455,103.16240119934082,0.00%,检查正确,39,116,战略_的产能规划达成率，最高为_0.7067_最低为_0.7067_平均产能规划达成率为_0.7067,核心_的产能规划达成率，最高为_0.4257_最低为_0.3007_平均产能规划达成率为_0.3782,合格_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,培养_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000
4,B_13_da_type_2_online_solve_梭织,30,103,6,8,15806.06572935027,12.525917053222656,0.00%,检查正确,19,55,核心_的产能规划达成率，最高为_1.0458_最低为_0.8997_平均产能规划达成率为_0.9451,合格_的产能规划达成率，最高为_0.7105_最低为_0.2500_平均产能规划达成率为_0.4842,,
5,B_14_da_type_2_online_solve_梭织,40,124,7,14,9495.08469737343,58.207387924194336,0.00%,检查正确,34,101,核心_的产能规划达成率，最高为_0.7089_最低为_0.6588_平均产能规划达成率为_0.6811,合格_的产能规划达成率，最高为_1.0000_最低为_0.5417_平均产能规划达成率为_0.6641,,
6,B_15_da_type_2_online_solve_梭织,40,104,14,27,10.69070177906542,856.355354309082,0.00%,检查正确,39,104,战略_的产能规划达成率，最高为_0.5120_最低为_0.5120_平均产能规划达成率为_0.5120,核心_的产能规划达成率，最高为_0.5051_最低为_0.5000_平均产能规划达成率为_0.5020,合格_的产能规划达成率，最高为_1.0632_最低为_0.0000_平均产能规划达成率为_0.4770,培养_的产能规划达成率，最高为_0.4792_最低为_0.4784_平均产能规划达成率为_0.4784
7,B_16_da_type_2_online_solve_毛织,40,126,9,23,10560.903446068703,406.54538917541504,0.00%,检查正确,33,101,核心_的产能规划达成率，最高为_0.5282_最低为_0.5227_平均产能规划达成率为_0.5268,合格_的产能规划达成率，最高为_0.5266_最低为_0.4671_平均产能规划达成率为_0.4924,培养_的产能规划达成率，最高为_0.4670_最低为_0.4670_平均产能规划达成率为_0.4670,
8,B_17_da_type_2_online_solve_毛织,30,100,9,22,6172.334787613625,99.79625701904297,0.00%,检查正确,28,89,核心_的产能规划达成率，最高为_0.5350_最低为_0.4919_平均产能规划达成率为_0.5224,合格_的产能规划达成率，最高为_0.5904_最低为_0.4000_平均产能规划达成率为_0.4650,培养_的产能规划达成率，最高为_0.4670_最低为_0.4670_平均产能规划达成率为_0.4670,
9,B_18_da_type_2_online_solve_毛织,40,133,10,25,3911.016381117988,117.52492141723633,0.00%,检查正确,39,128,核心_的产能规划达成率，最高为_0.7636_最低为_0.7077_平均产能规划达成率为_0.7337,合格_的产能规划达成率，最高为_0.4671_最低为_0.4214_平均产能规划达成率为_0.4458,培养_的产能规划达成率，最高为_0.4615_最低为_0.4615_平均产能规划达成率为_0.4615,
