,name,item_num,order_num,supplier_num,machine_num,objVal,Runtime,MIPGap,is_correct,finished_item_num,finished_order_num,pool_1,pool_2,pool_3,pool_4,pool_5
0,1,1,1,1,1,1.0,1.0,1,1,1,1,1,1,1,1,1
1,Set_49,169,292,10,20,43562.78632418602,73.28195714950562,0.00%,检查正确,68,188,战略_的平均产能规划达成率为_0.4969,核心_的平均产能规划达成率为_0.4950,合格_的平均产能规划达成率为_0.4549,培养_的平均产能规划达成率为_0.4593,观察_的平均产能规划达成率为_0.4488
2,Set_40,185,303,9,29,30520.76872534858,1165.966612815857,0.00%,检查正确,84,236,战略_的平均产能规划达成率为_0.5621,核心_的平均产能规划达成率为_0.5200,合格_的平均产能规划达成率为_0.3109,培养_的平均产能规划达成率为_0.5156,观察_的平均产能规划达成率为_0.3032
3,Set_47,180,294,10,29,19772.378612773406,1185.1695821285248,0.00%,检查正确,87,250,战略_的平均产能规划达成率为_0.3883,核心_的平均产能规划达成率为_0.4010,合格_的平均产能规划达成率为_0.3584,培养_的平均产能规划达成率为_0.3754,观察_的平均产能规划达成率为_0.3984
4,Set_46,181,308,10,27,35830.72155516282,941.5695548057556,0.00%,检查正确,79,232,战略_的平均产能规划达成率为_0.5837,核心_的平均产能规划达成率为_0.3880,合格_的平均产能规划达成率为_0.2811,培养_的平均产能规划达成率为_0.2955,观察_的平均产能规划达成率为_0.2708
5,Set_41,183,308,9,24,35780.02358480227,1312.5942010879517,0.00%,检查正确,79,226,战略_的平均产能规划达成率为_0.4096,核心_的平均产能规划达成率为_0.4087,合格_的平均产能规划达成率为_0.3256,培养_的平均产能规划达成率为_0.3266,
6,Set_48,185,334,10,28,29330.066234717655,3600.064066171646,0.040234,检查正确,84,266,核心_的平均产能规划达成率为_0.5671,培养_的平均产能规划达成率为_0.5307,,,
7,Set_44,164,306,10,17,43311.27168581911,306.0426471233368,0.00%,检查正确,72,205,核心_的平均产能规划达成率为_0.5502,合格_的平均产能规划达成率为_0.3846,培养_的平均产能规划达成率为_0.5494,观察_的平均产能规划达成率为_0.3360,
8,Set_43,181,311,10,20,44191.787194743825,3600.080770969391,0.069691,检查正确,73,210,战略_的平均产能规划达成率为_0.5963,核心_的平均产能规划达成率为_0.5727,合格_的平均产能规划达成率为_0.6287,观察_的平均产能规划达成率为_0.2331,
9,Set_42,172,303,9,19,44606.267517050364,3600.228038072586,0.017787,检查正确,71,199,战略_的平均产能规划达成率为_0.4870,核心_的平均产能规划达成率为_0.4898,合格_的平均产能规划达成率为_0.4840,观察_的平均产能规划达成率为_0.4843,
10,Set_45,178,302,10,23,29990.640655641764,3600.1251051425934,0.011648,检查正确,79,232,战略_的平均产能规划达成率为_0.5441,核心_的平均产能规划达成率为_0.5262,培养_的平均产能规划达成率为_0.5664,观察_的平均产能规划达成率为_0.5175,
